device,L_um,W_um,VDS_V,VSB_V,Vth_V,Ion_A_per_um,peak_gm_over_ID_1_per_V,gm_over_gds_at_peak_gmID
lv_core_n,0.13,1.0,1.2,0.0,0.454586691,0.000400525689,27.724426361821187,42.01243120887371
lv_core_n,0.18,1.0,1.2,0.0,0.398916009,0.000383847262,29.20573818156685,50.50713221176915
lv_core_n,0.25,1.0,1.2,0.0,0.351378602,0.000346106366,30.147976436347378,56.38769505827627
lv_core_n,0.5,1.0,1.2,0.0,0.289543711,0.000235589676,31.180103009928676,67.81952835243877
lv_core_p,0.13,1.0,1.2,0.0,0.398710734,0.000211454675,25.993132314538357,27.356729664659493
lv_core_p,0.18,1.0,1.2,0.0,0.39313255199999997,0.000141712959,27.672274950157764,70.83956193743091
lv_core_p,0.25,1.0,1.2,0.0,0.383004687,0.000104833463,28.96938314872175,172.77972489050418
lv_core_p,0.5,1.0,1.2,0.0,0.36442095500000005,5.7177965e-05,30.738833416322354,979.2590126473414
lv_rf_n,0.13,1.0,1.2,0.0,0.454586586,0.000400525908,27.724426398821613,42.0124311716848
lv_rf_n,0.18,1.0,1.2,0.0,0.3989159665,0.000383847297,29.205738145391628,50.50713229415961
lv_rf_n,0.25,1.0,1.2,0.0,0.351378584,0.000346106372,30.14797623991831,56.387695201567126
lv_rf_n,0.5,1.0,1.2,0.0,0.289543706,0.000235589675,31.18010305755247,67.81952859659262
lv_rf_p,0.13,1.0,1.2,0.0,0.398710732,0.000211454675,25.99313233596977,27.356729666804053
lv_rf_p,0.18,1.0,1.2,0.0,0.393132551,0.000141712959,27.67227493044935,70.83956209062735
lv_rf_p,0.25,1.0,1.2,0.0,0.38300468600000004,0.000104833464,28.96938300546413,172.77972493538303
lv_rf_p,0.5,1.0,1.2,0.0,0.36442095399999996,5.71779651e-05,30.738833232067886,979.2590130809363
hv_core_n,0.45,1.0,3.3,0.0,0.579395754,0.00053112153,28.694771806875313,44.55976523981579
hv_core_n,0.5,1.0,3.3,0.0,0.600049025,0.000491588558,29.06912024266353,52.76059766072496
hv_core_n,1.0,1.0,3.3,0.0,0.611634443,0.000299451444,29.434156352558578,136.7341901735648
hv_core_n,2.0,1.0,3.3,0.0,0.593417334,0.000162850525,29.107374735360537,279.4141941262322
hv_core_p,0.45,1.0,3.3,0.0,0.621549434,0.00021846171,25.70285564797338,158.40768166316036
hv_core_p,0.5,1.0,3.3,0.0,0.636042487,0.000194642734,25.51858018510948,205.65372349174604
hv_core_p,1.0,1.0,3.3,0.0,0.683909885,9.31774447e-05,24.94972802078023,918.2919160378036
hv_core_p,2.0,1.0,3.3,0.0,0.699229142,4.48186425e-05,35.44596517838017,0.5124347452407444
hv_rf_n,0.45,1.0,3.3,0.0,0.579395754,0.00053112153,28.694771806875313,44.55976523981579
hv_rf_n,0.5,1.0,3.3,0.0,0.600049025,0.000491588558,29.06912024266353,52.76059766072496
hv_rf_n,1.0,1.0,3.3,0.0,0.611634443,0.000299451444,29.434156352558578,136.7341901735648
hv_rf_n,2.0,1.0,3.3,0.0,0.593417334,0.000162850525,29.107374735360537,279.4141941262322
hv_rf_p,0.45,1.0,3.3,0.0,0.621549434,0.00021846171,25.70285564797338,158.40768166316036
hv_rf_p,0.5,1.0,3.3,0.0,0.636042487,0.000194642734,25.51858018510948,205.65372349174604
hv_rf_p,1.0,1.0,3.3,0.0,0.683909885,9.31774447e-05,24.94972802078023,918.2919160378036
hv_rf_p,2.0,1.0,3.3,0.0,0.699229142,4.48186425e-05,35.44596517838017,0.5124347452407444
