device,geometry,w_um,l_um,area_um2,bias_V,C_F,C,C_density_fF_um2
cap_cmim,w=7µm l=7µm,7.0,7.0,49.0,,7.464117726898079e-14,74.64 fF,1.523289332020016
cap_cmim,w=10µm l=10µm,10.0,10.0,100.0,,1.5164330063549214e-13,151.64 fF,1.5164330063549214
cap_cmim,w=20µm l=20µm,20.0,20.0,400.0,,6.033707050496941e-13,603.37 fF,1.5084267626242354
cap_cmim,w=50µm l=50µm,50.0,50.0,2500.0,,3.759048206072776e-12,3.76 pF,1.5036192824291106
cap_cmomi,w=5µm l=5µm,5.0,5.0,25.0,,1.6220780018939166e-14,16.22 fF,0.6488312007575666
cap_cmomi,w=10µm l=10µm,10.0,10.0,100.0,,1.0546770174763729e-13,105.47 fF,1.0546770174763729
cap_cmomi,w=30µm l=30µm,30.0,30.0,900.0,,1.1120954716655373e-12,1.11 pF,1.2356616351839305
moscap_n,W=L=1µm,1.0,1.0,1.0,-1.0,7.862795719600001e-15,7.86 fF,7.862795719600001
moscap_n,W=L=1µm,1.0,1.0,1.0,-0.5,3.331865507733333e-15,3.33 fF,3.3318655077333332
moscap_n,W=L=1µm,1.0,1.0,1.0,0.0,2.734730406e-15,2.73 fF,2.734730406
moscap_n,W=L=1µm,1.0,1.0,1.0,0.5,1.1470020611999999e-14,11.47 fF,11.470020611999999
moscap_n,W=L=1µm,1.0,1.0,1.0,1.0,1.2914083474666666e-14,12.91 fF,12.914083474666667
moscap_n,W=L=3µm,3.0,3.0,9.0,-1.0,6.6800884204e-14,66.80 fF,7.422320467111111
moscap_n,W=L=3µm,3.0,3.0,9.0,-0.5,2.3240027909333334e-14,23.24 fF,2.5822253232592596
moscap_n,W=L=3µm,3.0,3.0,9.0,0.0,1.7447575920000002e-14,17.45 fF,1.9386195466666667
moscap_n,W=L=3µm,3.0,3.0,9.0,0.5,1.0193299925333332e-13,101.93 fF,11.325888805925926
moscap_n,W=L=3µm,3.0,3.0,9.0,1.0,1.1351556092e-13,113.52 fF,12.612840102222222
moscap_n,W=L=10µm,10.0,10.0,100.0,-1.0,7.131891464933335e-13,713.19 fF,7.131891464933335
moscap_n,W=L=10µm,10.0,10.0,100.0,-0.5,2.1863065542666665e-13,218.63 fF,2.186306554266667
moscap_n,W=L=10µm,10.0,10.0,100.0,0.0,1.5975752024e-13,159.76 fF,1.5975752023999998
moscap_n,W=L=10µm,10.0,10.0,100.0,0.5,1.1398560672e-12,1.14 pF,11.398560672
moscap_n,W=L=10µm,10.0,10.0,100.0,1.0,1.2526938689333334e-12,1.25 pF,12.526938689333333
moscap_n,W=L=30µm,30.0,30.0,900.0,-1.0,6.1901882869333346e-12,6.19 pF,6.877986985481483
moscap_n,W=L=30µm,30.0,30.0,900.0,-0.5,1.7464793502666665e-12,1.75 pF,1.940532611407407
moscap_n,W=L=30µm,30.0,30.0,900.0,0.0,1.3910423047999999e-12,1.39 pF,1.5456025608888888
moscap_n,W=L=30µm,30.0,30.0,900.0,0.5,1.0356044208e-11,10.36 pF,11.506715786666666
moscap_n,W=L=30µm,30.0,30.0,900.0,1.0,1.1267166952e-11,11.27 pF,12.519074391111111
moscap_p,W=L=1µm,1.0,1.0,1.0,-1.0,1.2331187141333333e-14,12.33 fF,12.331187141333332
moscap_p,W=L=1µm,1.0,1.0,1.0,-0.5,1.0902991044e-14,10.90 fF,10.902991044
moscap_p,W=L=1µm,1.0,1.0,1.0,0.0,3.0927419916000003e-15,3.09 fF,3.0927419916000005
moscap_p,W=L=1µm,1.0,1.0,1.0,0.5,4.014378323866666e-15,4.01 fF,4.014378323866667
moscap_p,W=L=1µm,1.0,1.0,1.0,1.0,9.832147283066666e-15,9.83 fF,9.832147283066666
moscap_p,W=L=3µm,3.0,3.0,9.0,-1.0,1.1015136396e-13,110.15 fF,12.23904044
moscap_p,W=L=3µm,3.0,3.0,9.0,-0.5,9.742188598133333e-14,97.42 fF,10.824653997925926
moscap_p,W=L=3µm,3.0,3.0,9.0,0.0,2.2956456576e-14,22.96 fF,2.5507173973333335
moscap_p,W=L=3µm,3.0,3.0,9.0,0.5,3.189156178666666e-14,31.89 fF,3.543506865185184
moscap_p,W=L=3µm,3.0,3.0,9.0,1.0,8.621569573866667e-14,86.22 fF,9.57952174874074
moscap_p,W=L=10µm,10.0,10.0,100.0,-1.0,1.2200349611999999e-12,1.22 pF,12.200349611999998
moscap_p,W=L=10µm,10.0,10.0,100.0,-0.5,1.0778691008e-12,1.08 pF,10.778691008
moscap_p,W=L=10µm,10.0,10.0,100.0,0.0,2.3635810088e-13,236.36 fF,2.3635810088
moscap_p,W=L=10µm,10.0,10.0,100.0,0.5,3.385015602933333e-13,338.50 fF,3.385015602933333
moscap_p,W=L=10µm,10.0,10.0,100.0,1.0,9.489896563733333e-13,948.99 fF,9.489896563733334
moscap_p,W=L=30µm,30.0,30.0,900.0,-1.0,1.0968180237333333e-11,10.97 pF,12.186866930370371
moscap_p,W=L=30µm,30.0,30.0,900.0,-0.5,9.593575027466666e-12,9.59 pF,10.659527808296296
moscap_p,W=L=30µm,30.0,30.0,900.0,0.0,2.1270735836e-12,2.13 pF,2.363415092888889
moscap_p,W=L=30µm,30.0,30.0,900.0,0.5,3.072230648133333e-12,3.07 pF,3.413589609037037
moscap_p,W=L=30µm,30.0,30.0,900.0,1.0,8.555818832933334e-12,8.56 pF,9.506465369925927
