freq_Hz,S21_mag_model,S21_mag_em,S21_ang_deg_model,S21_ang_deg_em,S11_mag_model,S11_mag_em
2.500000e+08,0.99629242,0.99476594,-0.087163,-0.090504,0.00375720,0.01308758
4.993750e+08,0.99629112,0.99475948,-0.174107,-0.180772,0.00390302,0.01313173
7.487500e+08,0.99628896,0.99474881,-0.261050,-0.271017,0.00413447,0.01320489
9.981250e+08,0.99628593,0.99473395,-0.347990,-0.361231,0.00443816,0.01330654
1.247500e+09,0.99628205,0.99471487,-0.434926,-0.451402,0.00480037,0.01343597
1.496875e+09,0.99627731,0.99469169,-0.521858,-0.541521,0.00520887,0.01359226
1.746250e+09,0.99627172,0.99466438,-0.608785,-0.631576,0.00565361,0.01377441
1.995625e+09,0.99626528,0.99463305,-0.695707,-0.721559,0.00612665,0.01398127
2.245000e+09,0.99625799,0.99459777,-0.782621,-0.811460,0.00662189,0.01421161
2.494375e+09,0.99624987,0.99455875,-0.869528,-0.901270,0.00713468,0.01446416
2.743750e+09,0.99624090,0.99451587,-0.956427,-0.990980,0.00766143,0.01473761
2.993125e+09,0.99623112,0.99446942,-1.043316,-1.080582,0.00819942,0.01503062
3.242500e+09,0.99622050,0.99441928,-1.130196,-1.170068,0.00874653,0.01534189
3.491875e+09,0.99620908,0.99436583,-1.217065,-1.259430,0.00930109,0.01567013
3.741250e+09,0.99619684,0.99430898,-1.303923,-1.348662,0.00986181,0.01601410
3.990625e+09,0.99618381,0.99424899,-1.390769,-1.437758,0.01042765,0.01637261
4.240000e+09,0.99616998,0.99418596,-1.477602,-1.526710,0.01099777,0.01674449
4.489375e+09,0.99615537,0.99411996,-1.564423,-1.615514,0.01157148,0.01712868
4.738750e+09,0.99613999,0.99405119,-1.651229,-1.704166,0.01214824,0.01752413
4.988125e+09,0.99612385,0.99397982,-1.738020,-1.792661,0.01272759,0.01792993
5.237500e+09,0.99610695,0.99390584,-1.824797,-1.880994,0.01330913,0.01834515
5.486875e+09,0.99608930,0.99382952,-1.911558,-1.969163,0.01389256,0.01876898
5.736250e+09,0.99607093,0.99375106,-1.998303,-2.057165,0.01447759,0.01920062
