model,W_um,L_um,TEMP_C,R_ohm
rsil,0.5,0.5,-40.0,19.735076335275267
rsil,0.5,0.5,27.0,24.86634340420241
rsil,0.5,0.5,125.0,32.49235888026999
rsil,0.5,1.0,-40.0,25.182785048141092
rsil,0.5,1.0,27.0,31.730519047830587
rsil,0.5,1.0,125.0,41.461661783404274
rsil,0.5,2.0,-40.0,36.076511064665944
rsil,0.5,2.0,27.0,45.45661166416655
rsil,0.5,2.0,125.0,59.39747204358982
rsil,0.5,5.0,-40.0,68.75529988769968
rsil,0.5,5.0,27.0,86.63209083663499
rsil,0.5,5.0,125.0,113.20071240981676
rsil,1.0,0.5,-40.0,9.894524370213523
rsil,1.0,0.5,27.0,12.467169786229595
rsil,1.0,0.5,125.0,16.290624745458988
rsil,1.0,1.0,-40.0,12.645315753534366
rsil,1.0,1.0,27.0,15.933241841117962
rsil,1.0,1.0,125.0,20.819655976004654
rsil,1.0,2.0,-40.0,18.14614176733743
rsil,1.0,2.0,27.0,22.864285224336747
rsil,1.0,2.0,125.0,29.87631206803832
rsil,1.0,5.0,-40.0,34.64731344731529
rsil,1.0,5.0,27.0,43.65579443359517
rsil,1.0,5.0,125.0,57.04419784448991
rsil,2.0,0.5,-40.0,4.954108442131059
rsil,2.0,0.5,27.0,6.242223230225677
rsil,2.0,0.5,125.0,8.156606851549755
rsil,2.0,1.0,-40.0,6.336386063330067
rsil,2.0,1.0,27.0,7.983861953704246
rsil,2.0,1.0,125.0,10.43238769534646
rsil,2.0,2.0,-40.0,9.100450775661754
rsil,2.0,2.0,27.0,11.466662589631078
rsil,2.0,2.0,125.0,14.983218794949655
rsil,2.0,5.0,-40.0,17.39207060716878
rsil,2.0,5.0,27.0,21.914125845520022
rsil,2.0,5.0,125.0,28.634752280758022
rsil,5.0,0.5,-40.0,1.9833032311976242
rsil,5.0,0.5,27.0,2.4989754200777683
rsil,5.0,0.5,125.0,3.26536298863436
rsil,5.0,1.0,-40.0,2.5378606511473665
rsil,5.0,1.0,27.0,3.197721516828542
rsil,5.0,1.0,125.0,4.178401009501684
rsil,5.0,2.0,-40.0,3.6468045482946327
rsil,5.0,2.0,27.0,4.594996967302001
rsil,5.0,2.0,125.0,6.004202942059441
rsil,5.0,5.0,-40.0,6.973371020529605
rsil,5.0,5.0,27.0,8.7865226457977
rsil,5.0,5.0,125.0,11.481144134283463
rppd,0.5,0.5,-40.0,403.75437737037464
rppd,0.5,0.5,27.0,397.3246804847361
rppd,0.5,0.5,125.0,389.5861037234043
rppd,0.5,1.0,-40.0,658.2382910378662
rppd,0.5,1.0,27.0,654.2704230512555
rppd,0.5,1.0,125.0,651.7941720910427
rppd,0.5,2.0,-40.0,1167.0971958544708
rppd,0.5,2.0,27.0,1168.0514565601663
rppd,0.5,2.0,125.0,1176.1016151795513
rppd,0.5,5.0,-40.0,2693.6655760314047
rppd,0.5,5.0,27.0,2709.4103239370984
rppd,0.5,5.0,125.0,2749.055241348723
rppd,1.0,0.5,-40.0,202.63753009167323
rppd,1.0,0.5,27.0,199.4301615517262
rppd,1.0,0.5,125.0,195.57683431512905
rppd,1.0,1.0,-40.0,330.6382641050283
rppd,1.0,1.0,27.0,328.6684327117118
rppd,1.0,1.0,125.0,327.4622981740702
rppd,1.0,2.0,-40.0,586.583658561384
rppd,1.0,2.0,27.0,587.093340013151
rppd,1.0,2.0,125.0,591.1796003625901
rppd,1.0,5.0,-40.0,1354.4262650341313
rppd,1.0,5.0,27.0,1362.3730722421026
rppd,1.0,5.0,125.0,1382.3483333486927
rppd,2.0,0.5,-40.0,101.51047588111093
rppd,2.0,0.5,27.0,99.90875000832573
rppd,2.0,0.5,125.0,97.98605984988535
rppd,2.0,1.0,-40.0,165.70227940055543
rppd,2.0,1.0,27.0,164.72130801896273
rppd,2.0,1.0,125.0,164.1258166627094
rppd,2.0,2.0,-40.0,294.0576823549707
rppd,2.0,2.0,27.0,294.31963111939564
rppd,2.0,2.0,125.0,296.37942889659917
rppd,2.0,5.0,-40.0,679.1263718352711
rppd,2.0,5.0,27.0,683.1161024127662
rppd,2.0,5.0,125.0,693.1447979482914
rppd,5.0,0.5,-40.0,40.65051666806685
rppd,5.0,0.5,27.0,40.010242622111264
rppd,5.0,0.5,125.0,39.242155493116925
rppd,5.0,1.0,-40.0,66.37344354274893
rppd,5.0,1.0,27.0,65.9819209536587
rppd,5.0,1.0,125.0,65.74564325537361
rppd,5.0,2.0,-40.0,117.80783186466236
rppd,5.0,2.0,27.0,117.91433130782714
rppd,5.0,2.0,125.0,118.74228175168614
rppd,5.0,5.0,-40.0,272.1118052985611
rppd,5.0,5.0,27.0,273.7126382248823
rppd,5.0,5.0,125.0,277.73406037938474
rhigh,0.5,0.96,-40.0,3678.228565123037
