freq_Hz,gain_dB,gd_ps
1000000.0,-3.653241001527551,-1691.2949388370937
1011583.97,-3.653094006042213,-1691.0363885658394
1023302.12,-3.652943626930798,-1690.4595816993947
1035156.02,-3.6527897717816993,-1689.8710758124985
1047147.23,-3.6526323746470264,-1689.3049977618914
1059277.35,-3.652471356361665,-1688.6926681753666
1071547.98,-3.652306611318778,-1688.0663524768488
1083960.76,-3.652138073601589,-1687.4575857881312
1096517.32,-3.651965650852327,-1686.8322403192942
1109219.34,-3.651789250725689,-1686.1575094041386
1122068.5,-3.651608794114236,-1685.4955163243258
1135066.51,-3.6514241754733496,-1684.815445206799
1148215.08,-3.651235315722075,-1684.084098941261
1161515.97,-3.6510421093442718,-1683.3914189120735
1174970.93,-3.6508444508396156,-1682.6483067601778
1188581.75,-3.650642247947637,-1681.879985401271
1202350.24,-3.6504353952003292,-1681.1461629889786
1216278.23,-3.6502237871471004,-1680.3307534764692
1230367.55,-3.6500073183553416,-1679.5165074744757
1244620.09,-3.649785883411025,-1678.731557133077
1259037.73,-3.6495593504755712,-1677.8913644354873
1273622.38,-3.6493276273975104,-1676.995511844478
1288375.98,-3.6490905823809956,-1676.1234973062028
1303300.48,-3.648848096874989,-1675.2484828003953
1318397.87,-3.648600052351785,-1674.3147211247222
1333670.15,-3.6483463170877597,-1673.3755936712992
1349119.34,-3.6480867726053394,-1672.4041735797882
1364747.49,-3.647821287233427,-1671.4234291023
1380556.68,-3.6475497161102806,-1670.4338515119748
1396549.0,-3.6472719276232612,-1669.383998013936
1412726.58,-3.6469877901897747,-1668.3223359804647
1429091.56,-3.6466971590407105,-1667.2729150702253
1445646.11,-3.6463998762236915,-1666.1625140594667
1462392.42,-3.6460958102562007,-1665.0362873522417
1479332.73,-3.6457847768254457,-1663.8951434972648
1496469.27,-3.6454666709552996,-1662.6908216637614
1513804.32,-3.6451412951962654,-1661.492003485781
1531340.18,-3.644808505004917,-1660.2753049096211
1549079.17,-3.6444681294505616,-1659.0163952987293
1567023.65,-3.6441199976489607,-1657.7369598996333
1585176.0,-3.6437639255507692,-1656.435710841393
1603538.63,-3.643399755583302,-1655.069923892819
1622113.96,-3.6430273302227367,-1653.701421144659
1640904.48,-3.6426464127276024,-1652.3102065671094
1659912.66,-3.6422568456869318,-1650.8520906171846
1679141.03,-3.6418584189030967,-1649.3885644481265
1698592.15,-3.641450975081878,-1647.8790141323482
1718268.58,-3.641034277733154,-1646.3618285250386
1738172.95,-3.6406081432743163,-1644.796992171699
1758307.89,-3.640172361774136,-1643.1836882292903
1778676.06,-3.639726723375323,-1641.5410393525403
1799280.19,-3.639270991884493,-1639.8668996585454
1820122.99,-3.6388049576036092,-1638.1633942574147
1841207.23,-3.6383283977112106,-1636.408048783989
1862535.72,-3.637841089472638,-1634.6206362834464
1884111.27,-3.637342783836229,-1632.7819180873103
