freq_Hz,gain_dB,gd_ps
1000000.0,-3.378711950468895,-2603.300189234053
1011583.97,-3.3785208158896394,-2602.987682301681
1023302.12,-3.3783252514030133,-2602.3052645156645
1035156.02,-3.3781251547878672,-2601.6183245562675
1047147.23,-3.3779204494689714,-2600.960347008089
1059277.35,-3.3777110332567095,-2600.2287076868856
1071547.98,-3.3774967527223603,-2599.5191504739596
1083960.76,-3.3772775313432035,-2598.800738636101
1096517.32,-3.3770532669856568,-2598.005027083084
1109219.34,-3.376823806282818,-2597.256055729668
1122068.5,-3.376589072769907,-2596.4915204202853
1135066.51,-3.3763489131253195,-2595.6482094408334
1148215.08,-3.376103199678559,-2594.8147712266928
1161515.97,-3.375851830407495,-2593.990416150033
1174970.93,-3.375594677690113,-2593.143088709752
1188581.75,-3.3753315883090345,-2592.2415882947707
1202350.24,-3.375062434698541,-2591.340711045317
1216278.23,-3.3747870893212646,-2590.4145847059353
1230367.55,-3.374505399049677,-2589.4571817291862
1244620.09,-3.3742172364084233,-2588.5248054928284
1259037.73,-3.3739224227179427,-2587.532791662264
1273622.38,-3.373620830571652,-2586.505877949914
1288375.98,-3.3733123069804534,-2585.4446351882225
1303300.48,-3.3729966989933913,-2584.398711935566
1318397.87,-3.372673828084844,-2583.3409020425556
1333670.15,-3.3723435157737143,-2582.2172323800573
1349119.34,-3.3720056348490717,-2581.0782798003474
1364747.49,-3.371660006917306,-2579.9216002982766
1380556.68,-3.371306428023693,-2578.746237465228
1396549.0,-3.370944745486128,-2577.5500502238333
1412726.58,-3.3705747554547183,-2576.3067814878514
1429091.56,-3.3701962797445746,-2575.0397103518635
1445646.11,-3.3698091146208844,-2573.7483200342926
1462392.42,-3.3694131076197804,-2572.405357422855
1479332.73,-3.36900800391909,-2571.0574415643355
1496469.27,-3.3685936511803605,-2569.680504498653
1513804.32,-3.368169794720525,-2568.2484113477863
1531340.18,-3.3677362311359578,-2566.806488406672
1549079.17,-3.3672927826940464,-2565.3306831075106
1567023.65,-3.3668391693446247,-2563.818317442138
1585176.0,-3.366375213513094,-2562.2689412023774
1603538.63,-3.36590063532321,-2560.6812754159123
1622113.96,-3.3654152317762835,-2559.0751137959887
1640904.48,-3.3649187743679847,-2557.427391926831
1659912.66,-3.364410983508701,-2555.7169705884407
1679141.03,-3.363891605306206,-2553.9821070166026
1698592.15,-3.3633604115615205,-2552.2241537891023
1718268.58,-3.3628171102168696,-2550.4188480232483
1738172.95,-3.362261447712677,-2548.58554381541
1758307.89,-3.3616931450249017,-2546.6853420499283
1778676.06,-3.361111923257227,-2544.733630291548
1799280.19,-3.3605174908560147,-2542.7693830164476
1820122.99,-3.359909569195395,-2540.773060465414
1841207.23,-3.359287854215273,-2538.702798563576
1862535.72,-3.358652042007766,-2536.578355314965
1884111.27,-3.3580018032512378,-2534.43604366408
1905936.75,-3.35733683436278,-2532.2360616835017
1928015.06,-3.356656831926852,-2529.978083948254
1950349.12,-3.3559614415708587,-2527.679720068328
1972941.9,-3.3552503346794955,-2525.321269678592
1995796.39,-3.3545231572692193,-2522.918968608323
2018915.63,-3.353779555563567,-2520.45542444033
2042302.68,-3.353019201555884,-2517.94538914955
2065960.65,-3.352241690789195,-2515.3890071584883
2089892.67,-3.3514466701552266,-2512.7680964051833
2114101.91,-3.3506337867802936,-2510.0811347104423
2138591.6,-3.349802585845733,-2507.34355546688
2163364.97,-3.348952740542797,-2504.5556030367243
2188425.32,-3.3480837966021877,-2501.6829677914066
2213775.97,-3.347195376678501,-2498.7577810194543
2239420.27,-3.3462870398703304,-2495.7785035180077
2265361.64,-3.3453583711305472,-2492.74269680796
2291603.52,-3.3444089302008395,-2489.6219536776966
2318149.37,-3.343438251635771,-2486.428414103268
2345002.74,-3.3424459341655903,-2483.191639309222
2372167.17,-3.3414314747769702,-2479.8673799471107
2399646.28,-3.3403943963790734,-2476.4685806454845
2427443.7,-3.3393342478008803,-2473.009732430453
2455563.13,-3.3382505272495564,-2469.4753412144078
2484008.29,-3.3371427333739727,-2465.8650746758312
2512782.96,-3.336010365278355,-2462.1645288822356
2541890.95,-3.3348528970334907,-2458.386737088923
2571336.13,-3.333669803207593,-2454.545155412065
2601122.4,-3.3324605588815377,-2450.6248758380093
2631253.72,-3.3312246269183596,-2446.600100140285
2661734.07,-3.329961419755792,-2442.4960152247445
2692567.51,-3.3286704013990844,-2438.3255299819234
2723758.12,-3.3273509854778744,-2434.04955526771
2755310.04,-3.326002573518096,-2429.6802561963973
2787227.46,-3.3246245677076547,-2425.2303991299823
2819514.61,-3.323216396385047,-2420.68715060113
2852175.78,-3.3217774121811336,-2416.0387818767563
2885215.28,-3.3203069684838638,-2411.308351421383
2918637.52,-3.318804470372627,-2406.4722233540583
2952446.92,-3.3172692473408496,-2401.5418173966937
2986647.97,-3.3157006551731696,-2396.5065580566456
3021245.2,-3.3140979741797256,-2391.36525062867
3056243.2,-3.3124605873524224,-2386.1302351105655
3091646.62,-3.3107877514055377,-2380.7782172628017
3127460.15,-3.3090787749156947,-2375.3323568965448
3163688.54,-3.307332942034858,-2369.759346896692
3200336.61,-3.3055495125451784,-2364.0707915248363
3237409.2,-3.3037277727390095,-2358.288751623645
3274911.24,-3.3018669719084692,-2352.3811469883
3312847.7,-3.299966335118812,-2346.3484017332794
3351223.62,-3.2980250759678933,-2340.2018515904024
3390044.08,-3.2960424347196913,-2333.941702128636
3429314.24,-3.2940175894704176,-2327.558453775221
3469039.3,-3.291949745079939,-2321.0328455396498
3509224.53,-3.2898380951243156,-2314.385049752965
3549875.27,-3.2876817965861487,-2307.6162238365628
3590996.91,-3.2854799953014613,-2300.7174160608047
3632594.9,-3.2832318513708474,-2293.689793698926
3674674.75,-3.2809365011698706,-2286.5148011779283
3717242.06,-3.278593057427785,-2279.2025688797235
3760302.47,-3.2762006346401966,-2271.7644751190173
3803861.69,-3.2737583364558875,-2264.17375467874
3847925.5,-3.2712652430862073,-2256.440538941996
3892499.74,-3.2687204620118515,-2248.575618745156
3937590.32,-3.266123026791456,-2240.5528997805372
3983203.24,-3.263472011053148,-2232.3830109868672
4029344.53,-3.260766465278211,-2224.067994741847
4076020.32,-3.2580054042588245,-2215.5914577891967
4123236.81,-3.2551878703933665,-2206.9725767879777
4171000.24,-3.2523128831838273,-2198.1964324666214
4219316.97,-3.249379439340067,-2189.2556125422975
4268193.4,-3.2463865381317536,-2180.1533811445597
4317636.01,-3.2433331688373745,-2170.8911070634044
4367651.36,-3.240218310834519,-2161.479096573911
4418246.08,-3.2370409336923984,-2151.895123310469
4469426.9,-3.233799984662777,-2142.134071848832
4521200.59,-3.2304944265983,-2132.2138298290865
4573574.03,-3.227123212815588,-2122.1291784101945
4626554.16,-3.223685274606928,-2111.860084708146
4680148.0,-3.220179533953029,-2101.4236453672397
4734362.68,-3.216604928787594,-2090.822621037256
4789205.38,-3.2129603627589107,-2080.0381496158316
4844683.38,-3.209244755666423,-2069.065932463275
4900804.03,-3.205457018394328,-2057.930191685265
4957574.78,-3.201596053026164,-2046.613079612353
5015003.16,-3.197660752961842,-2035.1034223629283
5073096.78,-3.193650015583023,-2023.4253185359487
5131863.37,-3.1895627298058997,-2011.5549355821174
5191310.7,-3.185397788738727,-1999.50239484974
5251446.67,-3.1811540772497224,-1987.2715285589686
5312279.25,-3.176830484616299,-1974.8456932721776
5373816.52,-3.1724259046236547,-1962.2355404600196
5436066.63,-3.1679392106469324,-1949.4324343708752
5499037.84,-3.163369293323643,-1936.4460210968393
5562738.51,-3.1587150481283564,-1923.2745453895575
5627177.09,-3.153975375475909,-1909.9093946434325
5692362.12,-3.149149155862153,-1896.3613003224848
5758302.25,-3.1442352874630948,-1882.6162733142132
5825006.23,-3.139232686206977,-1868.6787196193116
5892482.91,-3.1341402733851575,-1854.5535092592156
5960741.24,-3.1289569384010836,-1840.2452233718102
6029790.26,-3.1236816385520454,-1825.741552042096
6099639.15,-3.1183132870123065,-1811.0465116343403
6170297.17,-3.1128508525323935,-1796.1718036630702
6241773.68,-3.1072932724404803,-1781.0996354507572
6314078.18,-3.1016395149385696,-1765.8462205382773
6387220.25,-3.0958885915372303,-1750.406282357602
6461209.6,-3.090039470260677,-1734.774136452835
6536056.03,-3.0840911626416085,-1718.960899636318
6611769.49,-3.0780427113232545,-1702.966826909014
6688360.0,-3.071893152965872,-1686.7924373780293
6765837.74,-3.065641555482742,-1670.4380980026006
6844212.98,-3.059287030409325,-1653.9049563594817
6923496.11,-3.0528286217732186,-1637.1938066669986
7003697.66,-3.0462655284973863,-1620.3058544855453
7084828.26,-3.0395968574359533,-1603.2520808883166
7166898.67,-3.032821796267604,-1586.0246511305645
7249919.79,-3.025939539469901,-1568.6297891968327
7333902.62,-3.018949349892075,-1551.078010461178
7418858.3,-3.0118504725954605,-1533.3573319540012
7504798.11,-3.004642184143422,-1515.4800063105458
7591733.44,-2.9973238048510393,-1497.4512646830506
7679675.82,-2.9898947109670484,-1479.269116190877
7768636.93,-2.9823542733193147,-1460.9321723970993
7858628.56,-2.9747019186090347,-1442.4558210002929
7949662.65,-2.966937117043366,-1423.8469852466988
8041751.28,-2.9590593456020837,-1405.0913094660723
8134906.65,-2.951068149100768,-1386.2032651654956
8229141.14,-2.942963091212259,-1367.1949844605529
8324467.24,-2.934743815348692,-1348.0619099116468
8420897.59,-2.9264099470368503,-1328.8058982941957
8518444.98,-2.9179612156155716,-1309.4384269507977
8617122.36,-2.909397356665129,-1289.9634800326346
8716942.82,-2.900718148426748,-1270.3835602577906
8817919.59,-2.8919234480002287,-1250.7099517182974
8920066.08,-2.8830131546803814,-1230.9388992583315
9023395.83,-2.8739871735055478,-1211.08140695862
9127922.54,-2.8648454877449443,-1191.1483195971327
9233660.09,-2.855588182654629,-1171.1354168038345
9340622.5,-2.8462152762019297,-1151.0547371196149
9448823.96,-2.8367269843411673,-1130.9126735743478
9558278.82,-2.8271234312866467,-1110.7133333016218
9669001.6,-2.8174049023132057,-1090.4639151218005
9781006.99,-2.807571686849728,-1070.1680439394863
9894309.85,-2.797624150360755,-1049.83682440744
10008925.2,-2.787562697973702,-1029.4762455568184
10124868.3,-2.7773877981388297,-1009.0951617296452
10242154.4,-2.7670999822237103,-988.6964710139972
10360799.2,-2.756699832166944,-968.2830892094107
10480818.3,-2.746187980123944,-947.8692069951232
10602227.8,-2.735565131907205,-927.4619730729821
10725043.6,-2.724832042696172,-907.0673235527961
10849282.2,-2.7139895285287166,-886.6891145190233
10974959.9,-2.703038453981974,-866.334586440637
11102093.5,-2.691979743618166,-846.0160465223432
11230699.7,-2.680814393332303,-825.7389622987122
11360795.8,-2.6695434697884544,-805.50700324395
11492398.9,-2.6581680390720823,-785.3277347317161
11625526.4,-2.646689296155398,-765.2117073167337
11760196.1,-2.6351084345116194,-745.1673534694905
11896425.9,-2.6234267399785027,-725.1983761829806
12034233.7,-2.611645543067629,-705.3131856541132
12173637.8,-2.599766230230442,-685.5170229405426
12314656.8,-2.5877902316224177,-665.8149208865186
12457309.4,-2.5757190556963256,-646.217957373902
12601614.5,-2.5635542651584076,-626.7344358154293
12747591.1,-2.551297429811588,-607.3707381975703
12895258.8,-2.5389502194104834,-588.126321160548
13044637.0,-2.526514356300771,-569.0114395687772
13195745.7,-2.5139915684514857,-550.0380036872077
13348604.8,-2.5013836819045365,-531.2078215074536
13503234.6,-2.488692527331327,-512.5274171364667
13659655.6,-2.475920020659704,-494.0022750338065
13817888.6,-2.463068093049398,-475.63669767495287
13977954.5,-2.4501387596788877,-457.4387207001167
