freq_Hz,gain_dB,gd_ps
1000000.0,-12.56509705112109,nan
1011583.97,-12.56496855361056,nan
1023302.12,-12.564837105797936,nan
1035156.02,-12.564702634013258,nan
1047147.23,-12.564564990791514,nan
1059277.35,-12.564424176283493,nan
1071547.98,-12.564280116843138,nan
1083960.76,-12.564132738832868,nan
1096517.32,-12.563981968623835,nan
1109219.34,-12.563827658799765,nan
1122068.5,-12.563669883344488,nan
1135066.51,-12.563508421065583,nan
1148215.08,-12.563343198376334,nan
1161515.97,-12.563174215491381,nan
1174970.93,-12.563001325051314,nan
1188581.75,-12.562824379713607,nan
1202350.24,-12.562643453512557,nan
1216278.23,-12.562458325342442,nan
1230367.55,-12.562268921688771,nan
1244620.09,-12.56207509526811,nan
1259037.73,-12.561876920156553,nan
1273622.38,-12.561674101539076,nan
1288375.98,-12.561466639741054,nan
1303300.48,-12.56125438754605,nan
1318397.87,-12.561037271532578,nan
1333670.15,-12.560815218294588,nan
1349119.34,-12.56058800690397,nan
1364747.49,-12.560355563998657,nan
1380556.68,-12.560117742468854,nan
1396549.0,-12.559874542756527,nan
1412726.58,-12.559625744031216,nan
1429091.56,-12.559371199256969,nan
1445646.11,-12.559110835182734,nan
1462392.42,-12.558844504823705,nan
1479332.73,-12.558572061225235,nan
1496469.27,-12.558293357463846,nan
1513804.32,-12.558008283521819,nan
1531340.18,-12.557716655665168,nan
1549079.17,-12.557418437683312,nan
1567023.65,-12.557113298427769,nan
1585176.0,-12.556801238628314,nan
1603538.63,-12.556482037828907,nan
1622113.96,-12.556155549354548,nan
1640904.48,-12.555821552841957,nan
1659912.66,-12.555479975432092,nan
1679141.03,-12.555130596851903,nan
1698592.15,-12.554773270604064,nan
1718268.58,-12.554407776520502,nan
1738172.95,-12.554033968206229,nan
1758307.89,-12.553651625605067,nan
1778676.06,-12.553260602431157,nan
1799280.19,-12.552860678747466,nan
1820122.99,-12.55245163468447,nan
1841207.23,-12.552033324138803,nan
1862535.72,-12.551605527371994,nan
1884111.27,-12.551168024719601,nan
1905936.75,-12.550720559751012,nan
1928015.06,-12.550262949803642,nan
1950349.12,-12.54979501228867,nan
1972941.9,-12.549316491019905,nan
1995796.39,-12.548827093071285,nan
2018915.63,-12.548326672952896,nan
2042302.68,-12.547814937929031,nan
2065960.65,-12.547291669032784,nan
2089892.67,-12.546756573744007,nan
2114101.91,-12.546209433309377,nan
2138591.6,-12.545649955438247,nan
2163364.97,-12.545077847967324,nan
2188425.32,-12.54449289249723,nan
2213775.97,-12.543894870744134,nan
2239420.27,-12.543283343676535,nan
2265361.64,-12.542658093299131,nan
2291603.52,-12.542018901744154,nan
2318149.37,-12.541365330457149,nan
2345002.74,-12.540697161886772,nan
2372167.17,-12.540014031433103,nan
2399646.28,-12.53931572186455,nan
2427443.7,-12.538601758560102,nan
2455563.13,-12.537871887867194,nan
2484008.29,-12.537125819520643,nan
2512782.96,-12.536363116318181,nan
2541890.95,-12.53558352519801,nan
2571336.13,-12.534786572636996,nan
2601122.4,-12.533971969246986,nan
2631253.72,-12.533139352319498,nan
2661734.07,-12.53228835939662,nan
2692567.51,-12.531418481235303,nan
2723758.12,-12.530529502975018,nan
2755310.04,-12.529620842437225,nan
2787227.46,-12.528692285312262,nan
2819514.61,-12.527743250066406,nan
2852175.78,-12.52677344949294,nan
2885215.28,-12.525782339503591,nan
2918637.52,-12.524769596810332,nan
2952446.92,-12.523734678067687,nan
2986647.97,-12.522677187253382,nan
3021245.2,-12.521596618555987,nan
3056243.2,-12.520492613457499,nan
3091646.62,-12.519364593553039,nan
3127460.15,-12.518212127756374,nan
3163688.54,-12.517034675316477,nan
3200336.61,-12.515831769380497,nan
3237409.2,-12.514602943577987,nan
3274911.24,-12.513347658665776,nan
3312847.7,-12.512065375954053,nan
3351223.62,-12.510755557322835,nan
3390044.08,-12.50941770190657,nan
3429314.24,-12.508051236096199,nan
3469039.3,-12.506655623582736,nan
3509224.53,-12.505230255395634,nan
3549875.27,-12.50377463320229,nan
3590996.91,-12.502288112770653,nan
3632594.9,-12.50077012390264,nan
3674674.75,-12.4992201337669,nan
3717242.06,-12.497637463795435,nan
3760302.47,-12.496021509507344,nan
3803861.69,-12.494371667256086,nan
3847925.5,-12.492687334252594,nan
3892499.74,-12.490967835408755,nan
3937590.32,-12.489212533183082,nan
3983203.24,-12.487420790995216,nan
4029344.53,-12.485591936684727,nan
4076020.32,-12.483725299136557,nan
4123236.81,-12.481820208309651,nan
4171000.24,-12.479875958722706,nan
4219316.97,-12.477891919130402,nan
4268193.4,-12.475867313311113,nan
4317636.01,-12.473801512411647,nan
4367651.36,-12.471693742734756,nan
4418246.08,-12.469543341448688,nan
4469426.9,-12.467349501051473,nan
4521200.59,-12.465111561441331,nan
4573574.03,-12.462828754463358,nan
4626554.16,-12.460500349936986,nan
4680148.0,-12.458125582741683,nan
4734362.68,-12.455703689347553,nan
4789205.38,-12.453233907855823,nan
4844683.38,-12.450715478039918,nan
4900804.03,-12.448147641387049,nan
4957574.78,-12.445529604741271,nan
5015003.16,-12.442860576790007,nan
5073096.78,-12.440139768109393,nan
5131863.37,-12.437366391210197,nan
5191310.7,-12.434539696937431,nan
5251446.67,-12.431658829092967,nan
5312279.25,-12.428723042637635,nan
5373816.52,-12.425731485658833,nan
5436066.63,-12.422683381125525,nan
5499037.84,-12.419577917940845,nan
5562738.51,-12.41641428733523,nan
