parameter,value
VDD_V,1.65
vtt_V,1.37396
vcm_pad_V,1.37396
ctle_VDS_tail_V,0.418936
vga_Ic_signal_A,0.00122776
vga_Ic_dummy_A,0.00167435
S11_dc_dB,-56.142
S11_28GHz_dB,-17.804
CMRR_dB,51.409
PSRR_dB,120.000
SBR_KEEP_FRAC,0.005
min_VCTRL_V,0.1500
min_gain_src_DC_dB,-15.109
min_gain_src_28G_dB,-11.197
min_gain_pad_DC_dB,-9.102
min_gain_pad_28G_dB,-4.479
min_peaking_28G_dB,3.912
min_gain_term_28G_dB,-0.000
min_gain_ctle_28G_dB,5.478
min_gain_vga_28G_dB,-9.957
min_f_peak_Hz,1.89085e+10
min_f_3dB_Hz,4.68744e+10
min_eye_height_mV,17.953
min_eye_width_UI,0.8475
min_eye_width_ps,15.134
min_eye_sample_phase_UI,0.8925
min_sbr_isi_norm,-0.24637
min_sbr_isi_abs,0.256771
mid_VCTRL_V,0.4200
mid_gain_src_DC_dB,-3.653
mid_gain_src_28G_dB,0.490
mid_gain_pad_DC_dB,2.354
mid_gain_pad_28G_dB,7.213
mid_peaking_28G_dB,4.144
mid_gain_term_28G_dB,-0.000
mid_gain_ctle_28G_dB,5.185
mid_gain_vga_28G_dB,2.028
mid_f_peak_Hz,1.78503e+10
mid_f_3dB_Hz,4.32462e+10
mid_eye_height_mV,75.354
mid_eye_width_UI,0.7638
mid_eye_width_ps,13.638
mid_eye_sample_phase_UI,0.1087
mid_sbr_isi_norm,-0.271308
mid_sbr_isi_abs,0.271308
max_VCTRL_V,1.0000
max_gain_src_DC_dB,-1.363
max_gain_src_28G_dB,2.840
max_gain_pad_DC_dB,4.645
max_gain_pad_28G_dB,9.565
max_peaking_28G_dB,4.202
max_gain_term_28G_dB,-0.000
max_gain_ctle_28G_dB,4.982
max_gain_vga_28G_dB,4.583
max_f_peak_Hz,1.74439e+10
max_f_3dB_Hz,4.22559e+10
max_eye_height_mV,100.466
max_eye_width_UI,0.7638
max_eye_width_ps,13.638
max_eye_sample_phase_UI,0.1087
max_sbr_isi_norm,-0.269061
max_sbr_isi_abs,0.269061
