time_s,v_outp,v_outn,v_inp,v_inn,vod,vid
0.0,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
5e-15,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1e-14,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2e-14,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4e-14,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
8e-14,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.6e-13,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.2e-13,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
6.4e-13,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.28e-12,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.28e-12,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.28e-12,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.28e-12,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
5.28e-12,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
6.28e-12,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
7.28e-12,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
8.28e-12,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
9.28e-12,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.028e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.128e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.228e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.328e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.428e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.528e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.628e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.728e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.828e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
1.928e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.028e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.128e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.228e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.328e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.428e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.528e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.628e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.728e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.828e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
2.928e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.028e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.128e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.228e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.328e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.428e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.528e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.628e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.728e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.828e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
3.928e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.028e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.128e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.228e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.328e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.428e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.528e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.628e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.728e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.828e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
4.928e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
5.028e-11,1.42143547,1.35599106,1.38285856,1.40788988,0.06544441000000001,-0.025031319999999857
