time_s,v_outp,v_outn,v_inp,v_inn,vod,vid
0.0,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
5e-15,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
1e-14,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
2e-14,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
4e-14,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
8e-14,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
1.6e-13,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
3.2e-13,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
6.4e-13,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
1.28e-12,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
2.28e-12,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
3.28e-12,1.39807895,1.37921473,1.38285853,1.40788987,0.018864219999999987,-0.025031339999999958
4.28e-12,1.39807894,1.37921474,1.38285853,1.40788987,0.018864199999999887,-0.025031339999999958
5.28e-12,1.39807894,1.37921474,1.38285853,1.40788987,0.018864199999999887,-0.025031339999999958
6.28e-12,1.39807894,1.37921474,1.38285853,1.40788987,0.018864199999999887,-0.025031339999999958
7.28e-12,1.39807894,1.37921474,1.38285853,1.40788987,0.018864199999999887,-0.025031339999999958
8.28e-12,1.39807894,1.37921474,1.38285853,1.40788987,0.018864199999999887,-0.025031339999999958
9.28e-12,1.39807894,1.37921474,1.38285853,1.40788987,0.018864199999999887,-0.025031339999999958
1.028e-11,1.39807894,1.37921474,1.38285853,1.40788987,0.018864199999999887,-0.025031339999999958
1.128e-11,1.39807894,1.37921475,1.38285853,1.40788987,0.018864189999999947,-0.025031339999999958
1.228e-11,1.39807893,1.37921475,1.38285853,1.40788987,0.018864180000000008,-0.025031339999999958
1.328e-11,1.39807893,1.37921475,1.38285853,1.40788987,0.018864180000000008,-0.025031339999999958
1.428e-11,1.39807893,1.37921475,1.38285853,1.40788987,0.018864180000000008,-0.025031339999999958
1.528e-11,1.39807893,1.37921475,1.38285853,1.40788987,0.018864180000000008,-0.025031339999999958
1.628e-11,1.39807893,1.37921475,1.38285853,1.40788987,0.018864180000000008,-0.025031339999999958
1.728e-11,1.39807893,1.37921475,1.38285853,1.40788987,0.018864180000000008,-0.025031339999999958
1.828e-11,1.39807893,1.37921476,1.38285853,1.40788987,0.01886417000000007,-0.025031339999999958
1.928e-11,1.39807892,1.37921476,1.38285853,1.40788987,0.018864159999999908,-0.025031339999999958
2.028e-11,1.39807892,1.37921476,1.38285853,1.40788987,0.018864159999999908,-0.025031339999999958
2.128e-11,1.39807892,1.37921476,1.38285853,1.40788987,0.018864159999999908,-0.025031339999999958
2.228e-11,1.39807892,1.37921476,1.38285853,1.40788987,0.018864159999999908,-0.025031339999999958
2.328e-11,1.39807892,1.37921476,1.38285853,1.40788987,0.018864159999999908,-0.025031339999999958
2.428e-11,1.39807892,1.37921477,1.38285853,1.40788987,0.01886414999999997,-0.025031339999999958
2.528e-11,1.39807891,1.37921477,1.38285853,1.40788987,0.01886414000000003,-0.025031339999999958
2.628e-11,1.39807891,1.37921477,1.38285853,1.40788987,0.01886414000000003,-0.025031339999999958
2.728e-11,1.39807891,1.37921477,1.38285853,1.40788987,0.01886414000000003,-0.025031339999999958
2.828e-11,1.39807891,1.37921477,1.38285853,1.40788987,0.01886414000000003,-0.025031339999999958
2.928e-11,1.39807891,1.37921477,1.38285853,1.40788987,0.01886414000000003,-0.025031339999999958
3.028e-11,1.39807891,1.37921477,1.38285853,1.40788987,0.01886414000000003,-0.025031339999999958
3.128e-11,1.39807891,1.37921478,1.38285853,1.40788987,0.018864129999999868,-0.025031339999999958
3.228e-11,1.3980789,1.37921478,1.38285853,1.40788987,0.01886411999999993,-0.025031339999999958
3.328e-11,1.3980789,1.37921478,1.38285853,1.40788987,0.01886411999999993,-0.025031339999999958
3.428e-11,1.3980789,1.37921478,1.38285853,1.40788987,0.01886411999999993,-0.025031339999999958
3.528e-11,1.3980789,1.37921478,1.38285853,1.40788987,0.01886411999999993,-0.025031339999999958
3.628e-11,1.3980789,1.37921478,1.38285853,1.40788987,0.01886411999999993,-0.025031339999999958
3.728e-11,1.3980789,1.37921479,1.38285853,1.40788987,0.01886410999999999,-0.025031339999999958
3.828e-11,1.3980789,1.37921479,1.38285853,1.40788987,0.01886410999999999,-0.025031339999999958
3.928e-11,1.39807889,1.37921479,1.38285853,1.40788987,0.01886410000000005,-0.025031339999999958
4.028e-11,1.39807889,1.37921479,1.38285853,1.40788987,0.01886410000000005,-0.025031339999999958
4.128e-11,1.39807889,1.37921479,1.38285853,1.40788987,0.01886410000000005,-0.025031339999999958
4.228e-11,1.39807889,1.37921479,1.38285853,1.40788987,0.01886410000000005,-0.025031339999999958
4.328e-11,1.39807889,1.37921479,1.38285853,1.40788987,0.01886410000000005,-0.025031339999999958
4.428e-11,1.39807889,1.3792148,1.38285853,1.40788987,0.01886409000000011,-0.025031339999999958
4.528e-11,1.39807888,1.3792148,1.38285853,1.40788987,0.01886407999999995,-0.025031339999999958
4.628e-11,1.39807888,1.3792148,1.38285853,1.40788987,0.01886407999999995,-0.025031339999999958
4.728e-11,1.39807888,1.3792148,1.38285853,1.40788987,0.01886407999999995,-0.025031339999999958
4.828e-11,1.39807888,1.3792148,1.38285853,1.40788987,0.01886407999999995,-0.025031339999999958
4.928e-11,1.39807888,1.3792148,1.38285853,1.40788987,0.01886407999999995,-0.025031339999999958
5.028e-11,1.39807888,1.3792148,1.38285853,1.40788987,0.01886407999999995,-0.025031339999999958
5.128e-11,1.39807888,1.37921481,1.38285853,1.40788987,0.01886407000000001,-0.025031339999999958
5.228e-11,1.39807887,1.37921481,1.38285853,1.40788987,0.01886406000000007,-0.025031339999999958
5.328e-11,1.39807887,1.37921481,1.38285853,1.40788987,0.01886406000000007,-0.025031339999999958
5.428e-11,1.39807887,1.37921481,1.38285853,1.40788987,0.01886406000000007,-0.025031339999999958
5.528e-11,1.39807887,1.37921481,1.38285853,1.40788987,0.01886406000000007,-0.025031339999999958
5.628e-11,1.39807887,1.37921481,1.38285853,1.40788987,0.01886406000000007,-0.025031339999999958
5.728e-11,1.39807887,1.37921482,1.38285853,1.40788987,0.01886404999999991,-0.025031339999999958
5.828e-11,1.39807886,1.37921482,1.38285853,1.40788987,0.01886403999999997,-0.025031339999999958
5.928e-11,1.39807886,1.37921482,1.38285853,1.40788987,0.01886403999999997,-0.025031339999999958
6.028e-11,1.39807886,1.37921482,1.38285853,1.40788987,0.01886403999999997,-0.025031339999999958
6.128e-11,1.39807886,1.37921482,1.38285853,1.40788987,0.01886403999999997,-0.025031339999999958
6.228e-11,1.39807886,1.37921482,1.38285853,1.40788987,0.01886403999999997,-0.025031339999999958
6.328e-11,1.39807886,1.37921482,1.38285853,1.40788987,0.01886403999999997,-0.025031339999999958
6.428e-11,1.39807886,1.37921483,1.38285853,1.40788987,0.01886403000000003,-0.025031339999999958
6.528e-11,1.39807885,1.37921483,1.38285853,1.40788987,0.018864020000000092,-0.025031339999999958
6.628e-11,1.39807885,1.37921483,1.38285853,1.40788987,0.018864020000000092,-0.025031339999999958
6.728e-11,1.39807885,1.37921483,1.38285853,1.40788987,0.018864020000000092,-0.025031339999999958
6.828e-11,1.39807885,1.37921483,1.38285853,1.40788987,0.018864020000000092,-0.025031339999999958
6.928e-11,1.39807885,1.37921483,1.38285853,1.40788987,0.018864020000000092,-0.025031339999999958
7.028e-11,1.39807885,1.37921483,1.38285853,1.40788987,0.018864020000000092,-0.025031339999999958
7.128e-11,1.39807885,1.37921484,1.38285853,1.40788987,0.018864010000000153,-0.025031339999999958
7.228e-11,1.39807884,1.37921484,1.38285853,1.40788987,0.018863999999999992,-0.025031339999999958
7.328e-11,1.39807884,1.37921484,1.38285853,1.40788987,0.018863999999999992,-0.025031339999999958
7.428e-11,1.39807884,1.37921484,1.38285853,1.40788987,0.018863999999999992,-0.025031339999999958
7.528e-11,1.39807884,1.37921484,1.38285853,1.40788987,0.018863999999999992,-0.025031339999999958
7.628e-11,1.39807884,1.37921484,1.38285853,1.40788987,0.018863999999999992,-0.025031339999999958
7.728e-11,1.39807884,1.37921485,1.38285853,1.40788987,0.01886398999999983,-0.025031339999999958
7.828e-11,1.39807883,1.37921485,1.38285853,1.40788987,0.01886397999999989,-0.025031339999999958
7.928e-11,1.39807883,1.37921485,1.38285853,1.40788987,0.01886397999999989,-0.025031339999999958
8.028e-11,1.39807883,1.37921485,1.38285853,1.40788987,0.01886397999999989,-0.025031339999999958
8.128e-11,1.39807883,1.37921485,1.38285853,1.40788987,0.01886397999999989,-0.025031339999999958
8.228e-11,1.39807883,1.37921485,1.38285853,1.40788987,0.01886397999999989,-0.025031339999999958
8.328e-11,1.39807883,1.37921485,1.38285853,1.40788987,0.01886397999999989,-0.025031339999999958
8.428e-11,1.39807883,1.37921486,1.38285853,1.40788987,0.018863969999999952,-0.025031339999999958
8.528e-11,1.39807882,1.37921486,1.38285853,1.40788987,0.018863960000000013,-0.025031339999999958
8.628e-11,1.39807882,1.37921486,1.38285853,1.40788987,0.018863960000000013,-0.025031339999999958
8.728e-11,1.39807882,1.37921486,1.38285853,1.40788987,0.018863960000000013,-0.025031339999999958
8.828e-11,1.39807882,1.37921486,1.38285853,1.40788987,0.018863960000000013,-0.025031339999999958
8.928e-11,1.39807882,1.37921486,1.38285853,1.40788987,0.018863960000000013,-0.025031339999999958
