k,h_mV,h_over_h0,kept
-3,0.0005779421050114205,-5.06149220153337e-06,no
-2,0.0006757566766851797,-5.918131106070833e-06,no
-1,0.0008325317976859342,-7.291133774433418e-06,no
0,-114.18413424332334,1.0,yes
1,23.308679470962385,-0.20413238341232426,yes
2,7.790625756676449,-0.0682286186982408,yes
3,1.4829616138194361,-0.012987457702830102,yes
4,0.24002732810511737,-0.0021021075274225537,no
5,-0.002801243323429894,2.453268435228067e-05,no
6,-0.04946267189488626,0.0004331834034795292,no
7,-0.05769924332363618,0.0005053175181122854,no
8,-0.0585011004662386,0.0005123400098789059,no
9,-0.057933671894702665,0.0005073705929341072,no
10,-0.05717067189493061,0.0005006884036367209,no
