k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,-0.0002699667856276474,2.0725091718097885e-06,no
0,-130.26084000000003,1.0,yes
1,26.523857714285892,-0.2036211167860263,yes
2,8.68102728571432,-0.06664341551700663,yes
3,1.6551241428570975,-0.01270622961480286,yes
4,0.26994185714291397,-0.002072317798218666,no
5,-0.003389142857306676,2.6018125303864734e-05,no
6,-0.05667142857139459,0.0004350611325045545,no
7,-0.06657000000003244,0.0005110515178624092,no
8,-0.06796557142863932,0.0005217651861345229,no
9,-0.06774757142850824,0.0005200916210006647,no
10,-0.06729914285708016,0.0005166490777817811,no
