k,h_mV,h_over_h0,kept
-3,-0.000354400000186772,8.524504409193426e-06,no
-2,-0.000397314142783106,9.55673295768782e-06,no
-1,-0.0004544000000231141,1.0929838605228955e-05,no
0,-41.57426439999985,1.0,yes
1,8.777922742857132,-0.211138377781067,yes
2,2.3264898857143788,-0.05595985687997855,yes
3,0.20674560000009848,-0.004972922623739778,no
4,-0.10577297142839309,0.0025441934560938013,no
5,-0.10707582857135749,0.0025755315245303023,no
6,-0.07460725714284192,0.0017945538717178647,no
7,-0.05049439999988553,0.0012145590722679321,no
8,-0.03621011428568787,0.0008709742627626143,no
9,-0.028268685714212538,0.0006799563653665665,no
10,-0.023957257142880446,0.0005762520994329496,no
