time_s,v_outp,v_outn,v_inp,v_inn,vod,vid
0.0,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
5e-15,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
1e-14,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
2e-14,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
4e-14,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
8e-14,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
1.6e-13,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
3.2e-13,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
6.4e-13,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
1.28e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
1.405e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
1.655e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
2.155e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
3.155e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
4.155e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
4.28e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
4.53e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
5.03e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
6.03e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
6.155e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
6.405e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
6.905e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
7.905e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
8.03e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
8.28e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
8.78e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
9.78e-12,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
1.078e-11,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
1.0905e-11,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
1.1155e-11,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
1.1655e-11,1.40482447,1.39488158,1.38612828,1.36109781,0.009942890000000038,0.025030470000000138
