freq_Hz,gain_dB,gd_ps
1000000.0,-0.8316260293046147,-842.091822824959
1011583.97,-0.831587813989692,-842.0733637630657
1023302.12,-0.83154868122264,-842.0078747161817
1035156.02,-0.8315086692498573,-841.9197958054261
1047147.23,-0.8314677016158518,-841.8427666258146
1059277.35,-0.831425797450971,-841.7434595750593
1071547.98,-0.8313829185353199,-841.6529657869236
1083960.76,-0.8313390457667114,-841.5720624175248
1096517.32,-0.8312941409271479,-841.4982324000399
1109219.34,-0.8312482040326387,-841.4007725553478
1122068.5,-0.8312011968669131,-841.3084524726983
1135066.51,-0.8311531003311355,-841.2235078718387
1148215.08,-0.8311038762111806,-841.1122079323048
1161515.97,-0.8310535245262213,-841.035604762832
1174970.93,-0.8310020070641011,-840.9333877574913
1188581.75,-0.8309492664982582,-840.8332022522545
1202350.24,-0.8308953219666226,-840.7072704047036
1216278.23,-0.8308401161450445,-840.582591583156
1230367.55,-0.8307836490575742,-840.5160184425198
1244620.09,-0.8307258442677041,-840.3936630797804
1259037.73,-0.8306667209172915,-840.2704094182716
1273622.38,-0.8306062025732095,-840.1476298682085
1288375.98,-0.8305442892646189,-840.0222847908733
1303300.48,-0.830480942791878,-839.9222945368952
1318397.87,-0.8304161249571511,-839.7664768834646
1333670.15,-0.8303498166789363,-839.6333074815808
1349119.34,-0.8302819415341677,-839.5229787839056
1364747.49,-0.8302125186737312,-839.3818897154445
1380556.68,-0.8301414716787757,-839.2606800223645
1396549.0,-0.83006878147533,-839.1095832494672
1412726.58,-0.829994409877317,-838.9513729109196
1429091.56,-0.8299182995874341,-838.8119456838317
1445646.11,-0.8298404506513899,-838.641084135723
1462392.42,-0.8297607675501745,-838.4859571055237
1479332.73,-0.8296792503342743,-838.346094871113
1496469.27,-0.8295958608297492,-838.1972322509521
1513804.32,-0.8295105226401263,-838.0159857197681
1531340.18,-0.8294231975980246,-837.8248298111205
1549079.17,-0.8293338666511663,-837.668404047326
1567023.65,-0.8292424534134009,-837.501090940462
1585176.0,-0.8291489388386677,-837.3000702845168
1603538.63,-0.8290532465484689,-837.1305342921485
1622113.96,-0.8289553575034032,-836.949090488685
1640904.48,-0.8288551762219564,-836.7327530087995
1659912.66,-0.8287527027834469,-836.5249998808796
1679141.03,-0.8286478417155013,-836.3236664071967
1698592.15,-0.8285405548836622,-836.1288799781179
1718268.58,-0.8284308041573818,-835.9191574511618
1738172.95,-0.8283184940801769,-835.6940465649449
1758307.89,-0.8282035865318825,-835.4539977563418
