t_ui,v_outp,v_outn
0.015999999999999945,1.35760167,1.41972064
0.07199999999999976,1.35760613,1.4197247
0.12799999999999956,1.35760989,1.4197282
0.18399999999999936,1.3576131,1.41973117
0.2399999999999992,1.35761579,1.41973374
0.295999999999999,1.3576181,1.41973592
0.3520000000000017,1.35762003,1.41973781
0.4080000000000015,1.35762168,1.41973941
0.4640000000000013,1.35762307,1.41974081
0.5200000000000011,1.35762426,1.419742
0.576000000000001,1.35762526,1.41974304
0.6320000000000007,1.35762612,1.41974393
0.6880000000000005,1.35762684,1.41974471
0.7440000000000003,1.35762747,1.41974538
0.8000000000000002,1.35762799,1.41974597
0.856,1.35762845,1.41974648
0.9119999999999998,1.35762884,1.41974694
0.9679999999999995,1.35762917,1.41974733
1.0239999999999994,1.35762945,1.4197477
1.0799999999999992,1.35762971,1.41974801
1.135999999999999,1.35762991,1.41974829
1.1920000000000017,1.35763011,1.41974854
1.2480000000000016,1.35763026,1.41974878
1.3040000000000014,1.35763041,1.41974898
1.3600000000000012,1.35763053,1.41974917
1.4160000000000008,1.35763065,1.41974934
1.4720000000000006,1.35763075,1.41974951
1.5280000000000005,1.35763085,1.41974965
1.5840000000000003,1.35763093,1.4197498
1.6400000000000001,1.35763101,1.41974992
1.696,1.35763108,1.41975005
1.7519999999999998,1.35763115,1.41975017
1.8079999999999996,1.35763121,1.41975028
1.8639999999999994,1.35763127,1.41975038
1.9199999999999993,1.35763132,1.41975049
1.975999999999999,1.35763138,1.41975058
1.6000000010787207e-06,1.3576314,1.41975063
0.005601599999999901,1.3575995,1.41978319
0.01680160000000044,1.35756065,1.41982559
0.03920160000000152,1.35771825,1.41970289
0.08400160000000079,1.35951633,1.41816637
0.1400016000000006,1.36484128,1.41350913
0.19600160000000041,1.37304895,1.40611162
0.2520016000000002,1.38308098,1.39665594
0.25760159999999904,1.38418629,1.39558017
0.2688015999999996,1.38638566,1.39342831
0.29120160000000067,1.39062762,1.38922069
0.3360015999999999,1.39790661,1.38183678
0.39200159999999973,1.40432091,1.37511444
0.44800159999999956,1.40806285,1.37101174
0.5040015999999994,1.40992579,1.36881113
0.5600015999999991,1.41066987,1.36778113
0.6160015999999989,1.41083716,1.36738506
0.6720016000000016,1.41075899,1.36728632
0.7280016000000015,1.41060952,1.36730242
0.7840016000000013,1.41046742,1.3673455
0.8400016000000011,1.41035793,1.36738242
0.8960016000000008,1.41028297,1.36740446
0.9520016000000007,1.410235,1.36741402
0.9999992000000002,1.41020929,1.36741529
1.005599199999999,1.41023932,1.36738318
1.0167991999999995,1.4102766,1.3673441
1.0391992000000005,1.41014153,1.36750313
1.0839991999999998,1.40855593,1.3692995
1.1399991999999997,1.40377091,1.37457421
1.1959991999999995,1.39617295,1.38264775
1.2519991999999993,1.38647132,1.39246083
1.2575992000000011,1.38536956,1.39353978
1.2687992000000017,1.3831654,1.39568522
1.2911991999999997,1.37885135,1.39981396
1.335999199999999,1.37126079,1.40686933
1.3919992000000017,1.36431883,1.41304538
1.4479992000000015,1.36007059,1.4166259
1.5039992000000013,1.35780852,1.41841196
1.5599992000000011,1.35678224,1.41914409
1.615999200000001,1.35643678,1.41934615
1.6719992000000008,1.35641877,1.41933329
1.7279992000000006,1.35653215,1.41926642
1.7839992000000005,1.3566795,1.41921486
1.8399992000000003,1.35682062,1.41919694
1.8959992,1.35694254,1.41921034
1.9519991999999997,1.35704489,1.4192447
0.007999199999999615,1.35713056,1.41929057
0.06399919999999942,1.3572033,1.41934012
0.11999919999999922,1.3572657,1.4193889
0.17599919999999902,1.35731986,1.41943404
0.23199920000000174,1.35736693,1.41947464
0.28799920000000157,1.35740794,1.41951023
0.34399920000000134,1.35744348,1.41954121
0.39999920000000116,1.35747425,1.41956785
0.455999200000001,1.35750071,1.41959079
0.5119992000000008,1.35752344,1.41961038
0.5679992000000006,1.35754284,1.41962719
0.6239992000000004,1.35755942,1.4196415
0.6799992000000002,1.35757351,1.41965377
0.7359992,1.35758551,1.4196642
0.7919991999999998,1.35759568,1.41967314
0.8479991999999996,1.35760433,1.41968073
0.9039991999999994,1.35761164,1.41968724
0.9599991999999993,1.35761787,1.41969276
1.015999199999999,1.35762313,1.41969751
1.0719992000000018,1.3576276,1.41970153
1.1279992000000016,1.35763138,1.41970499
1.1839992000000013,1.3576346,1.41970793
1.239999200000001,1.35763731,1.41971046
1.295999200000001,1.35763962,1.41971261
1.3519992000000007,1.35764157,1.41971447
1.4079992000000006,1.35764325,1.41971605
1.4639992000000004,1.35764465,1.41971743
1.5199992000000002,1.35764586,1.4197186
1.5759992,1.35764688,1.41971963
1.6319991999999999,1.35764775,1.4197205
1.6879991999999997,1.35764848,1.41972128
1.7439991999999995,1.35764912,1.41972193
1.7999991999999991,1.35764965,1.41972252
1.855999199999999,1.35765011,1.41972303
1.9119992000000017,1.3576505,1.41972348
1.9679992000000015,1.35765085,1.41972387
0.02399920000000137,1.35765113,1.41972423
0.07999920000000117,1.35765139,1.41972454
0.13599920000000099,1.35765161,1.41972482
0.19199920000000079,1.35765181,1.41972507
0.24799920000000059,1.35765197,1.4197253
0.3039992000000004,1.35765212,1.41972551
0.3599992000000002,1.35765225,1.4197257
0.4159992,1.35765237,1.41972587
0.47199919999999984,1.35765248,1.41972604
0.5279991999999997,1.35765258,1.41972619
0.5839991999999995,1.35765266,1.41972633
0.6399991999999992,1.35765275,1.41972646
0.695999199999999,1.35765282,1.41972659
0.7519992000000018,1.35765289,1.41972671
0.8079992000000016,1.35765296,1.41972683
0.8639992000000014,1.35765302,1.41972693
0.9199992000000012,1.35765308,1.41972704
0.975999200000001,1.35765314,1.41972714
1.031999200000001,1.35765319,1.41972724
1.0879992000000005,1.35765325,1.41972734
1.1439992000000003,1.3576533,1.41972743
1.1999992000000002,1.35765335,1.41972752
1.2559992,1.3576534,1.41972762
1.3119991999999998,1.35765345,1.4197277
1.3679991999999996,1.35765349,1.41972779
1.4239991999999995,1.35765354,1.41972788
1.4799991999999993,1.35765359,1.41972796
1.5359991999999991,1.35765363,1.41972804
1.5919992000000018,1.35765368,1.41972813
1.6479992000000017,1.35765372,1.41972821
1.7039992000000015,1.35765377,1.41972829
1.759999200000001,1.35765381,1.41972837
1.815999200000001,1.35765386,1.41972845
1.8719992000000008,1.3576539,1.41972853
1.9279992000000006,1.35765394,1.41972861
1.9839992000000004,1.35765399,1.41972869
1.9999983999999993,1.357654,1.41972871
0.005598400000001001,1.3576221,1.41976127
0.016798400000001542,1.35758325,1.41980366
0.03919839999999973,1.35774084,1.41968095
0.08399839999999899,1.35953893,1.41814431
0.1399984000000017,1.36486377,1.41348676
0.19599840000000152,1.37307115,1.40608876
0.2519984000000013,1.3831027,1.39663247
0.2575984000000001,1.38420795,1.39555664
0.26879840000000066,1.38640721,1.39340465
0.29119840000000174,1.39064892,1.38919676
0.33599840000000103,1.3979274,1.38181236
0.39199840000000086,1.40434117,1.37508951
0.44799840000000063,1.40808277,1.37098648
0.5039984000000004,1.40994554,1.36878572
0.5599984000000002,1.4106896,1.36775572
0.6159984000000001,1.41085697,1.36735976
0.6719983999999999,1.41077896,1.3672612
0.7279983999999997,1.41062969,1.36727752
0.7839983999999994,1.41048779,1.36732084
0.8399983999999993,1.41037853,1.36735799
0.8959983999999991,1.41030378,1.36738025
0.9519984000000018,1.410256,1.36739003
1.0079984000000015,1.41022703,1.3673914
1.0639984000000013,1.41020968,1.36738868
