parameter,value
VDD_V,1.6
VBASE_V,1.35036
Nx,2
ITAIL_A,0.008
RD_on_chip_target_ohm,50.000
RD_on_chip_realized_ohm,50.258
R_eff_AC_half_circuit_ohm,25.000
L_pH,62.90
L_EM_case,turn1_d40
CL_pad_fF,78.58
m_realized,0.3169
m_bessel_target,0.320
L_bessel_target_pH,63.51
driver_Cin_Miller_fF,37.66
driver_Cin_sim_fF,
vga_FO2_fF,43.47
vga_bw_penalty_pct,-13.4
Vpad_CM_V,1.3887
Vem_V,0.4254
VCE_Q1_V,0.9634
VCE_Q2_V,0.9634
VDS_tail_V,0.4254
Ic_Q1_A,0.00417289
Ic_Q2_A,0.00417289
Id_tail_A,0.00836418
ESD_leak_pA,1.177
dc_gain_dB,-0.831
ac_gain_28G_dB,0.241
peaking_28G_dB,1.072
G_peak_dB,0.470
f_peak_Hz,1.40029e+09
f_3dB_Hz,9.06879e+10
pad_swing_pp_mV,113.20
return_loss_dc_dB,38.853
return_loss_28GHz_dB,26.531
pad_eye_height_mV,98.71
pad_eye_width_UI,0.8400
pad_eye_width_ps,15.000
pad_eye_pp_swing_mV,113.20
pad_eye_sample_phase_UI,0.6540
eye_height_margin_pct,-50.6
eye_width_margin_pct,68.0
sbr_cursor_mV,-105.5905
sbr_isi_norm,-0.00753939
