k,h_mV,h_over_h0,kept
-3,-0.0001767200000016289,1.6736923686026985e-06,no
-2,-0.00020672000004134938,1.957818506697413e-06,no
-1,-0.00022672000014184457,2.147235932794875e-06,no
0,-105.58690671999996,1.0,yes
1,0.7960955258570023,-0.007539718233891667,yes
2,-0.04048251357154711,0.0003834046742073848,no
3,-0.04875957671434576,0.0004617956736212433,no
4,-0.048309575857146354,0.00045753377343704015,no
5,-0.04805672000001762,0.0004551390081675237,no
6,-0.047953862428643204,0.00045416485735119965,no
7,-0.0478852910000127,0.0004535154261787121,no
8,-0.04782671957138488,0.00045296070371882277,no
9,-0.04774814814287858,0.0004522165638349387,no
10,-0.04768671999991897,0.0004516347858013942,no
