freq_Hz,gain_dB,gd_ps
1000000.0,-0.38546162253095645,-711.9605431930416
1011583.97,-0.38539967877224357,-711.8335534291888
1023302.12,-0.38533630083077697,-711.5880651782863
1035156.02,-0.3852714705782856,-711.3626849643913
1047147.23,-0.3852051335687112,-711.0910202037985
1059277.35,-0.38513727167719036,-710.8369695848235
1071547.98,-0.38506784862098864,-710.6021576421201
1083960.76,-0.3849968099602601,-710.3194594066396
1096517.32,-0.38492415573465505,-710.0536240657032
1109219.34,-0.3848498133495748,-709.7722710642324
1122068.5,-0.384773764689745,-709.4748199678181
1135066.51,-0.38469597348306206,-709.1621173045758
1148215.08,-0.3846163671431603,-708.8627963524372
1161515.97,-0.38453494571995195,-708.5771391970907
1174970.93,-0.3844516547906297,-708.2738102171828
1188581.75,-0.3843664580934313,-707.9529857853018
1202350.24,-0.3842792830540722,-707.6139344647811
1216278.23,-0.38419011157472216,-707.285880494887
1230367.55,-0.3840988892452314,-706.9396542801426
1244620.09,-0.38400557981618133,-706.574280563753
1259037.73,-0.38391012888438225,-706.2181345259346
1273622.38,-0.3838124820505949,-705.8698153774808
1288375.98,-0.38371258491966775,-705.4754629868404
1303300.48,-0.38361041941305746,-705.0870530168278
1318397.87,-0.3835058948309429,-704.731865905009
1333670.15,-0.38339897494699493,-704.304219322448
1349119.34,-0.38328962353864116,-703.8811638888541
1364747.49,-0.3831777499212806,-703.4889239272333
1380556.68,-0.38306331788228176,-703.0499764309898
1396549.0,-0.38294627305836815,-702.5896216203485
1412726.58,-0.3828265610915083,-702.1567591766108
1429091.56,-0.3827040913205065,-701.7026862841789
1445646.11,-0.38257884570799455,-701.2257349657731
1462392.42,-0.38245071545145726,-700.7505931503
1479332.73,-0.3823196825250785,-700.2525038197637
1496469.27,-0.3821856562941694,-699.7551104707891
1513804.32,-0.3820485642856001,-699.2573307951693
1531340.18,-0.3819083521866581,-698.7363697285252
1549079.17,-0.3817649475391257,-698.1695544977063
1567023.65,-0.38161827789303965,-697.6230318469627
1585176.0,-0.38146827080696655,-697.0753808161965
1603538.63,-0.3813148538482769,-696.5028960906236
1622113.96,-0.3811579364423521,-695.9277575955804
1640904.48,-0.3809974643267514,-695.3067857123864
1659912.66,-0.38083336509698756,-694.7028547582037
1679141.03,-0.38066551190841025,-694.0747838986549
1698592.15,-0.38049386867934554,-693.4207591381447
1718268.58,-0.3803183448879674,-692.7827493362945
1738172.95,-0.3801388318759621,-692.11862580853
1758307.89,-0.37995525729651314,-691.4294809478324
1778676.06,-0.3797675306663971,-690.7334295803828
1799280.19,-0.3795755615160964,-690.0119913581782
1820122.99,-0.3793792593902261,-689.2831388194171
1841207.23,-0.37917853384799627,-688.5473956981232
1862535.72,-0.3789732763171374,-687.7661967586969
1884111.27,-0.37876337824265616,-686.9956189432731
1905936.75,-0.3785487673786121,-686.1986421280149
1928015.06,-0.37832933520349954,-685.3920671995724
1950349.12,-0.37810495507002323,-684.5594882156535
1972941.9,-0.37787555478492524,-683.6988970864512
1995796.39,-0.37764098959634806,-682.8294941447496
2018915.63,-0.37740116920678235,-681.9491546033182
2042302.68,-0.37715596705272797,-681.042252003629
2065960.65,-0.3769052928792257,-680.1069093935155
2089892.67,-0.3766490020270392,-679.1779832748177
2114101.91,-0.376387004288048,-678.2044574595985
2138591.6,-0.37611913691400556,-677.2031013299644
