t_ui,v_outp,v_outn
0.015999999999999945,1.3173323,1.3804533
0.07199999999999976,1.31767782,1.38008731
0.12799999999999956,1.31799629,1.37974889
0.18399999999999936,1.3182899,1.379436
0.2399999999999992,1.31856061,1.37914676
0.295999999999999,1.31881025,1.37887942
0.3520000000000017,1.31904049,1.37863235
0.4080000000000015,1.31925287,1.37840404
0.4640000000000013,1.31944878,1.3781931
0.5200000000000011,1.31962952,1.37799821
0.576000000000001,1.31979628,1.37781817
0.6320000000000007,1.31995016,1.37765186
0.6880000000000005,1.32009215,1.37749825
0.7440000000000003,1.32022319,1.37735637
0.8000000000000002,1.32034411,1.37722534
0.856,1.32045572,1.37710433
0.9119999999999998,1.32055873,1.37699258
0.9679999999999995,1.32065381,1.37688938
1.0239999999999994,1.32074156,1.37679409
1.0799999999999992,1.32082257,1.3767061
1.135999999999999,1.32089734,1.37662486
1.1920000000000017,1.32096636,1.37654984
1.2480000000000016,1.32103007,1.37648058
1.3040000000000014,1.32108888,1.37641663
1.3600000000000012,1.32114317,1.37635759
1.4160000000000008,1.32119329,1.37630307
1.4720000000000006,1.32123956,1.37625274
1.5280000000000005,1.32128227,1.37620628
1.5840000000000003,1.32132169,1.37616338
1.6400000000000001,1.32135809,1.37612377
1.696,1.32139169,1.37608721
1.7519999999999998,1.32142271,1.37605345
1.8079999999999996,1.32145134,1.37602228
1.8639999999999994,1.32147777,1.37599351
1.9199999999999993,1.32150217,1.37596695
1.975999999999999,1.3215247,1.37594242
1.6000000010787207e-06,1.32153381,1.3759325
0.005601599999999901,1.32151199,1.37595382
0.01680160000000044,1.32147276,1.3759911
0.03920160000000152,1.32158385,1.37587117
0.08400160000000079,1.32359111,1.373849
0.1400016000000006,1.33040398,1.36704475
0.19600160000000041,1.34172014,1.35570898
0.2520016000000002,1.35625864,1.34097772
0.25760159999999904,1.35787715,1.33932319
0.2688015999999996,1.36114045,1.33598058
0.29120160000000067,1.36764265,1.32928076
0.3360015999999999,1.37938774,1.31706044
0.39200159999999973,1.39046556,1.30542916
0.44800159999999956,1.39742058,1.29812794
0.5040015999999994,1.40110622,1.29433221
0.5600015999999991,1.40252476,1.29298811
0.6160015999999989,1.40249674,1.29321152
0.6720016000000016,1.40161052,1.29435929
0.7280016000000015,1.40025782,1.29599979
0.7840016000000013,1.39868503,1.29785909
0.8400016000000011,1.39703993,1.29977219
0.8960016000000008,1.39540688,1.30164487
0.9520016000000007,1.39383117,1.3034274
0.9999992000000002,1.39254345,1.30486554
1.005599199999999,1.39242138,1.30500299
1.0167991999999995,1.39217384,1.30527974
1.0391992000000005,1.39149836,1.30600841
1.0839991999999998,1.38843395,1.30920538
1.1399991999999997,1.38045754,1.31744303
1.1959991999999995,1.36806915,1.33012847
1.2519991999999993,1.35236618,1.34597122
1.2575992000000011,1.35061822,1.34771545
1.2687992000000017,1.34708989,1.35122821
1.2911991999999997,1.34002451,1.35821513
1.335999199999999,1.32708634,1.37085937
1.3919992000000017,1.31456629,1.38291563
1.4479992000000015,1.30639048,1.39070441
1.5039992000000013,1.30175264,1.39511665
1.5599992000000011,1.2996047,1.39717715
1.615999200000001,1.2990679,1.39772404
1.6719992000000008,1.29950542,1.39736156
1.7279992000000006,1.30048773,1.39649125
1.7839992000000005,1.30174128,1.3953668
1.8399992000000003,1.30309924,1.39414038
1.8959992,1.30446462,1.3928995
1.9519991999999997,1.30578427,1.39169145
0.007999199999999615,1.30703156,1.39054003
0.06399919999999942,1.30819536,1.3894555
0.11999919999999922,1.30927317,1.38844087
0.17599919999999902,1.31026721,1.38749519
0.23199920000000174,1.31118192,1.38661573
0.28799920000000157,1.31202277,1.38579883
0.34399920000000134,1.3127954,1.3850407
0.39999920000000116,1.31350536,1.38433744
0.455999200000001,1.31415785,1.38368539
0.5119992000000008,1.31475771,1.383081
0.5679992000000006,1.31530936,1.382521
0.6239992000000004,1.31581686,1.38200225
0.6799992000000002,1.31628388,1.38152188
0.7359992,1.3167138,1.38107714
0.7919991999999998,1.31710966,1.38066552
0.8479991999999996,1.31747427,1.38028462
0.9039991999999994,1.31781016,1.37993224
0.9599991999999993,1.31811967,1.37960628
1.015999199999999,1.31840492,1.37930485
1.0719992000000018,1.31866787,1.37902613
1.1279992000000016,1.31891028,1.37876846
1.1839992000000013,1.3191338,1.37853027
1.239999200000001,1.31933993,1.37831012
1.295999200000001,1.31953004,1.37810667
1.3519992000000007,1.31970539,1.37791868
1.4079992000000006,1.31986715,1.37774497
1.4639992000000004,1.32001638,1.37758449
1.5199992000000002,1.32015406,1.37743623
1.5759992,1.3202811,1.37729927
1.6319991999999999,1.32039832,1.37717277
1.6879991999999997,1.32050649,1.37705593
1.7439991999999995,1.32060631,1.376948
1.7999991999999991,1.32069843,1.37684834
1.855999199999999,1.32078345,1.37675629
1.9119992000000017,1.32086192,1.37667129
1.9679992000000015,1.32093434,1.37659279
0.02399920000000137,1.32100118,1.37652031
0.07999920000000117,1.32106288,1.37645337
0.13599920000000099,1.32111983,1.37639157
0.19199920000000079,1.32117239,1.37633449
0.24799920000000059,1.32122091,1.3762818
0.3039992000000004,1.32126569,1.37623314
0.3599992000000002,1.32130703,1.37618822
0.4159992,1.32134519,1.37614674
0.47199919999999984,1.32138041,1.37610844
0.5279991999999997,1.32141292,1.37607307
0.5839991999999995,1.32144293,1.37604042
0.6399991999999992,1.32147063,1.37601028
0.695999199999999,1.3214962,1.37598244
0.7519992000000018,1.3215198,1.37595674
0.8079992000000016,1.32154159,1.37593301
0.8639992000000014,1.3215617,1.3759111
0.9199992000000012,1.32158026,1.37589088
0.975999200000001,1.32159739,1.3758722
1.031999200000001,1.3216132,1.37585495
1.0879992000000005,1.3216278,1.37583903
1.1439992000000003,1.32164126,1.37582433
1.1999992000000002,1.3216537,1.37581075
1.2559992,1.32166517,1.37579821
1.3119991999999998,1.32167576,1.37578664
1.3679991999999996,1.32168553,1.37577595
1.4239991999999995,1.32169455,1.37576608
1.4799991999999993,1.32170287,1.37575696
1.5359991999999991,1.32171055,1.37574854
1.5919992000000018,1.32171763,1.37574077
1.6479992000000017,1.32172417,1.37573359
1.7039992000000015,1.3217302,1.37572696
1.759999200000001,1.32173577,1.37572083
1.815999200000001,1.32174091,1.37571518
1.8719992000000008,1.32174564,1.37570995
1.9279992000000006,1.32175001,1.37570513
1.9839992000000004,1.32175404,1.37570067
1.9999983999999993,1.32175514,1.37569946
0.005598400000001001,1.32173162,1.37572262
0.016798400000001542,1.32168903,1.37576356
0.03919839999999973,1.32179357,1.37565074
0.08399839999999899,1.32378833,1.37364192
0.1399984000000017,1.33058623,1.36685266
0.19599840000000152,1.34188777,1.35553029
0.2519984000000013,1.356412,1.34081131
0.2575984000000001,1.35802911,1.33915795
0.26879840000000066,1.36128964,1.33581767
0.29119840000000174,1.36778641,1.32912239
0.33599840000000103,1.37952129,1.31691073
0.39199840000000086,1.39058783,1.30528977
0.44799840000000063,1.39753322,1.29799853
0.5039984000000004,1.40121061,1.29421253
0.5599984000000002,1.40262198,1.29287779
0.6159984000000001,1.40258761,1.2931101
0.6719983999999999,1.40169564,1.29426623
0.7279983999999997,1.40033766,1.29591449
0.7839983999999994,1.39875997,1.29778096
0.8399983999999993,1.39711029,1.29970064
0.8959983999999991,1.39547294,1.30157934
0.9519984000000018,1.39389319,1.30336736
1.0079984000000015,1.3923933,1.30504163
1.0639984000000013,1.39098231,1.30659464
1.1199984000000012,1.38966209,1.30802737
1.175998400000001,1.38843068,1.30934527
1.2319984000000008,1.38728434,1.31055573
1.2879984000000007,1.38621853,1.31166682
1.3439984000000005,1.38522853,1.31268647
1.3999984000000003,1.38430948,1.31362247
1.4559984000000001,1.38345666,1.3144821
1.5119984,1.3826656,1.315272
1.5679983999999998,1.38193218,1.3159981
1.6239983999999994,1.38125246,1.31666587
1.6799983999999992,1.38062275,1.31728018
1.735998399999999,1.38003957,1.31784554
1.7919984000000018,1.37949966,1.31836599
1.8479984000000016,1.37899995,1.31884526
1.9039984000000014,1.37853757,1.3192867
1.9599984000000013,1.37810984,1.31969342
0.015998400000001037,1.37771425,1.3200682
0.07199840000000085,1.37734844,1.32041364
0.12799840000000065,1.37701026,1.32073207
0.18399840000000045,1.37669765,1.32102568
0.23999840000000028,1.37640873,1.3212964
0.29599840000000005,1.37614174,1.32154608
0.3519983999999999,1.37589504,1.32177636
0.4079983999999997,1.37566712,1.32198879
0.4639983999999995,1.37545658,1.32218474
0.5199983999999993,1.37526209,1.32236553
0.5759983999999991,1.37508246,1.32253232
0.631998399999999,1.37491656,1.32268622
0.6879983999999987,1.37476336,1.32282823
0.7439983999999985,1.37462188,1.32295927
0.7999983999999983,1.37449125,1.32308018
0.8559983999999982,1.37437063,1.32319177
0.911998399999998,1.37425927,1.32329475
