parameter,value
ideal_dc_gain_dB,-0.245
ideal_peaking_28G_dB,5.461
ideal_G_peak_dB,5.223
ideal_f_peak_Hz,2.99732e+10
ideal_f_3dB_Hz,9.42243e+10
ideal_CMRR_dB,23.092
ideal_PSRR_dB,120.000
ideal_VCE_V,0.9102
ideal_VDS_tail_V,0.4385
ideal_VGS_tail_V,0.4165
ideal_Ic_A,0.00288839
ideal_Id_tail_A,0.00289597
ideal_RD_realized_ohm,87.0000
ideal_m,0.3200
ideal_sbr_cursor_mV,-167.1738
ideal_sbr_isi_norm,-0.382266
ideal_sbr_isi_abs,0.382266
ideal_eye_height_mV,101.91
ideal_eye_width_UI,0.6125
ideal_eye_width_ps,10.938
ideal_eye_pp_swing_mV,233.15
ideal_eye_sample_phase_UI,0.4040
