k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,0.0,-0.0,no
0,-163.63539000000006,1.0,yes
1,43.661536638857065,-0.2668220892733354,yes
2,13.503805264285763,-0.08252374540914259,yes
3,3.237557269142778,-0.019785189922197008,yes
4,0.7708158885713107,-0.004710569569158055,no
5,0.1786393640000242,-0.0010916914977867815,no
6,0.03659127728566119,-0.00022361469169756722,no
7,0.0025413929998439433,-1.5530827407469388e-05,no
8,-0.005590008999999777,3.41613693712575e-05,no
9,-0.007532859285643028,4.60344139836928e-05,no
10,-0.007984286571468638,4.879315270045578e-05,no
