parameter,value
pdk_dc_gain_dB,-0.236
pdk_peaking_28G_dB,4.997
pdk_G_peak_dB,4.767
pdk_f_peak_Hz,2.67125e+10
pdk_f_3dB_Hz,7.85149e+10
pdk_CMRR_dB,23.093
pdk_PSRR_dB,120.000
pdk_VCE_V,0.9100
pdk_VDS_tail_V,0.4385
pdk_VGS_tail_V,0.4165
pdk_Ic_A,0.00288839
pdk_Id_tail_A,0.00289597
pdk_RD_realized_ohm,86.7151
pdk_m,0.2627
pdk_sbr_cursor_mV,-157.9753
pdk_sbr_isi_norm,-0.348269
pdk_sbr_isi_abs,0.348269
pdk_eye_height_mV,101.90
pdk_eye_width_UI,0.5900
pdk_eye_width_ps,10.536
pdk_eye_pp_swing_mV,214.79
pdk_eye_sample_phase_UI,0.4040
