k,h_mV,h_over_h0,kept
-3,6.938893903907228e-15,-4.1572958745844854e-17,no
-2,6.938893903907228e-15,-4.1572958745844854e-17,no
-1,6.938893903907228e-15,-4.1572958745844854e-17,no
0,-166.9088299999999,1.0,yes
1,49.472021791714205,-0.29640146534916234,yes
2,12.073408342571572,-0.07233534824114206,yes
3,2.4811832567143317,-0.014865500265709927,yes
4,0.5074394734286608,-0.003040219462497347,no
5,0.0996767425714521,-0.0005971927463121763,no
6,0.014835631142818736,-8.888463925376952e-05,no
7,-0.0032400180000005697,1.941190289333747e-05,no
8,-0.007380004285708629,4.421578106867464e-05,no
9,-0.008524287428653392,5.107151867671349e-05,no
10,-0.008957143285671496,5.3664885708392425e-05,no
