k,h_mV,h_over_h0,kept
-3,-0.00018043999992778392,1.6194853710515327e-06,no
-2,-0.00021226828567067973,1.9051506512937045e-06,no
-1,0.053532349285700574,-0.0004804636254761153,no
0,-111.41811043999992,1.0,yes
1,5.528630702857317,-0.049620574976763365,yes
2,-0.18128458285708707,0.0016270656730865234,no
3,-0.04868858285717081,0.0004369898454110854,no
4,-0.04761258285709954,0.00042733252851868747,no
5,-0.04812458285710602,0.00043192783172374584,no
6,-0.0480360114285368,0.00043113288529879356,no
7,-0.04797744000003268,0.0004306071949215935,no
8,-0.04790201142849789,0.0004299302082877607,no
9,-0.047840297142901736,0.00042937631013464684,no
10,-0.04777172571410947,0.0004287608677391379,no
