parameter,value
VDD_V,1.6
VBASE_V,1.35036
Nx,2
ITAIL_A,0.008
RD_on_chip_target_ohm,50.000
RD_on_chip_realized_ohm,50.258
R_eff_AC_half_circuit_ohm,25.000
L_pH,214.90
L_EM_case,turn1
CL_pad_fF,194.46
m_realized,0.4375
m_target,0.414
L_target_pH,203.35
driver_Cin_Miller_fF,37.66
driver_Cin_sim_fF,
vga_FO2_fF,43.47
vga_bw_penalty_pct,-13.4
Vpad_CM_V,1.3843
Vem_V,0.4253
VCE_Q1_V,0.9590
VCE_Q2_V,0.9590
VDS_tail_V,0.4253
Ic_Q1_A,0.00417059
Ic_Q2_A,0.00417059
Id_tail_A,0.00835956
ESD_leak_pA,1.169
dc_gain_dB,-0.733
ac_gain_28G_dB,-0.143
peaking_28G_dB,0.590
G_peak_dB,0.592
f_peak_Hz,1.10044e+10
f_3dB_Hz,4.21577e+10
pad_swing_pp_mV,122.48
return_loss_dc_dB,41.047
return_loss_28GHz_dB,13.812
pad_eye_height_mV,100.83
pad_eye_width_UI,0.6000
pad_eye_width_ps,10.714
pad_eye_pp_swing_mV,122.48
pad_eye_sample_phase_UI,0.2161
eye_height_margin_pct,-49.6
eye_width_margin_pct,20.0
sbr_cursor_mV,-110.5729
sbr_isi_norm,-0.0436059
