k,h_mV,h_over_h0,kept
-3,-0.00018423999997851936,1.6548100054764374e-06,no
-2,-0.00021424000001823984,1.9242645226052425e-06,no
-1,0.05440841428563057,-0.00048868643265559,no
0,-111.33604424000005,1.0,yes
1,5.552331617142951,-0.049870027761846306,yes
2,-0.2669269542858778,0.0023974891160178126,no
3,-0.038112382857055274,0.00034231845685929734,no
4,-0.04828623999989195,0.0004336981821969924,no
5,-0.04804838285710687,0.00043156179281466137,no
6,-0.04801424000004781,0.00043125512791299244,no
7,-0.04795124000004369,0.0004306892734277342,no
8,-0.04788424000007341,0.00043008749167387686,no
9,-0.04781424000005157,0.0004294587644678793,no
10,-0.04774552571434253,0.0004288415853128437,no
