parameter,value
postlayout_klayout_dc_gain_dB,-0.236
postlayout_klayout_peaking_28G_dB,4.931
postlayout_klayout_G_peak_dB,4.696
postlayout_klayout_f_peak_Hz,2.7335e+10
postlayout_klayout_f_3dB_Hz,7.93481e+10
postlayout_klayout_CMRR_dB,23.093
postlayout_klayout_PSRR_dB,120.000
postlayout_klayout_VCE_V,0.9100
postlayout_klayout_VDS_tail_V,0.4385
postlayout_klayout_VGS_tail_V,0.4165
postlayout_klayout_Ic_A,0.00288839
postlayout_klayout_Id_tail_A,0.00289597
postlayout_klayout_RD_realized_ohm,86.7151
postlayout_klayout_m,0.2627
postlayout_klayout_sbr_cursor_mV,-156.6740
postlayout_klayout_sbr_isi_norm,-0.343896
postlayout_klayout_sbr_isi_abs,0.343896
postlayout_klayout_eye_height_mV,101.83
postlayout_klayout_eye_width_UI,0.5125
postlayout_klayout_eye_width_ps,9.152
postlayout_klayout_eye_pp_swing_mV,212.23
postlayout_klayout_eye_sample_phase_UI,0.1643
