k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,0.0,-0.0,no
0,-156.6740400000002,1.0,yes
1,40.87363878614275,-0.26088328855337295,yes
2,10.980865447142907,-0.0700873319354176,yes
3,2.025050188142814,-0.012925243953259976,yes
4,0.37172418471428037,-0.0023725958985565186,no
5,0.06517829028568956,-0.00041601206100059385,no
6,0.007695661142842977,-4.9118929612352936e-05,no
7,-0.0035271540001022054,2.2512689403440423e-05,no
8,-0.006030002999990215,3.848756947858246e-05,no
9,-0.006787143714337341,4.3320155108895724e-05,no
10,-0.007137143285795814,4.555408978919421e-05,no
