t_ui,v_outp,v_outn
0.015999999999999945,1.31738704,1.38013615
0.07199999999999976,1.31772288,1.3797753
0.12799999999999956,1.31803103,1.37944187
0.18399999999999936,1.31831389,1.37913376
0.2399999999999992,1.31857356,1.37884911
0.295999999999999,1.31881199,1.37858615
0.3520000000000017,1.3190309,1.37834331
0.4080000000000015,1.31923193,1.37811906
0.4640000000000013,1.31941655,1.37791202
0.5200000000000011,1.31958614,1.37772086
0.576000000000001,1.31974192,1.3775444
0.6320000000000007,1.31988507,1.37738149
0.6880000000000005,1.32001659,1.37723113
0.7440000000000003,1.32013747,1.37709233
0.8000000000000002,1.32024855,1.37696425
0.856,1.32035066,1.37684603
0.9119999999999998,1.32044451,1.37673695
0.9679999999999995,1.32053079,1.37663628
1.0239999999999994,1.3206101,1.3765434
1.0799999999999992,1.32068303,1.37645768
1.135999999999999,1.32075008,1.3763786
1.1920000000000017,1.32081174,1.37630563
1.2480000000000016,1.32086843,1.37623831
1.3040000000000014,1.32092057,1.37617619
1.3600000000000012,1.32096851,1.37611887
1.4160000000000008,1.32101261,1.37606599
1.4720000000000006,1.32105316,1.37601721
1.5280000000000005,1.32109046,1.3759722
1.5840000000000003,1.32112477,1.37593067
1.6400000000000001,1.32115633,1.37589235
1.696,1.32118535,1.37585699
1.7519999999999998,1.32121205,1.37582437
1.8079999999999996,1.32123661,1.37579427
1.8639999999999994,1.3212592,1.3757665
1.9199999999999993,1.32127998,1.37574087
1.975999999999999,1.32129909,1.37571722
1.6000000010787207e-06,1.32130681,1.37570765
0.005601599999999901,1.32128469,1.3757291
0.01680160000000044,1.32124537,1.37576614
0.03920160000000152,1.32134806,1.37565401
0.08400160000000079,1.32321304,1.37377106
0.1400016000000006,1.32956986,1.36741183
0.19600160000000041,1.34031211,1.35663336
0.2520016000000002,1.35442849,1.34231084
0.25760159999999904,1.3560197,1.34068275
0.2688015999999996,1.35923223,1.33738942
0.29120160000000067,1.36566088,1.33076106
0.3360015999999999,1.37739925,1.31853835
0.39200159999999973,1.38864871,1.3066957
0.44800159999999956,1.39571591,1.29920775
0.5040015999999994,1.39925138,1.29547833
0.5600015999999991,1.40034376,1.29439531
0.6160015999999989,1.40006807,1.29482682
0.6720016000000016,1.39919654,1.29593486
0.7280016000000015,1.39812355,1.29727207
0.7840016000000013,1.3969644,1.29869088
0.8400016000000011,1.3957137,1.30018318
0.8960016000000008,1.394364,1.30175337
0.9520016000000007,1.39294866,1.30336828
0.9999992000000002,1.39172845,1.30474267
1.005599199999999,1.39161129,1.30487621
1.0167991999999995,1.39137253,1.3051464
1.0391992000000005,1.3907204,1.30585751
1.0839991999999998,1.3878227,1.30890257
