parameter,value
postlayout_magic_dc_gain_dB,-0.236
postlayout_magic_peaking_28G_dB,5.064
postlayout_magic_G_peak_dB,4.843
postlayout_magic_f_peak_Hz,2.58053e+10
postlayout_magic_f_3dB_Hz,8.12319e+10
postlayout_magic_CMRR_dB,23.093
postlayout_magic_PSRR_dB,120.000
postlayout_magic_VCE_V,0.9100
postlayout_magic_VDS_tail_V,0.4385
postlayout_magic_VGS_tail_V,0.4165
postlayout_magic_Ic_A,0.00288839
postlayout_magic_Id_tail_A,0.00289597
postlayout_magic_RD_realized_ohm,86.7151
postlayout_magic_m,0.2627
postlayout_magic_sbr_cursor_mV,-160.0607
postlayout_magic_sbr_isi_norm,-0.354905
postlayout_magic_sbr_isi_abs,0.354905
postlayout_magic_eye_height_mV,102.00
postlayout_magic_eye_width_UI,0.5900
postlayout_magic_eye_width_ps,10.536
postlayout_magic_eye_pp_swing_mV,218.88
postlayout_magic_eye_sample_phase_UI,0.4040
