k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,0.0,-0.0,no
0,-160.06070000000005,1.0,yes
1,40.46866686671416,-0.2528332493030091,yes
2,13.283640346857098,-0.08299126735580373,yes
3,3.0539561752856623,-0.019079987625230062,yes
4,0.7003446481428299,-0.004375494097819325,no
5,0.1577537161427724,-0.0009855868188929095,no
6,0.0320427255714223,-0.0002001910873276344,no
7,0.002525683000002876,-1.5779532389917544e-05,no
8,-0.004680007714486906,2.92389556867295e-05,no
9,-0.006621431142964281,4.1368250563469225e-05,no
10,-0.0072742865714061815,4.5447049596847815e-05,no
