parameter,value
postlayout_vga_klayout_dc_gain_dB,2.757
postlayout_vga_klayout_peaking_28G_dB,-0.646
postlayout_vga_klayout_G_peak_dB,3.639
postlayout_vga_klayout_f_peak_Hz,5.70253e+08
postlayout_vga_klayout_f_3dB_Hz,4.25257e+10
postlayout_vga_klayout_CMRR_dB,35.108
postlayout_vga_klayout_PSRR_dB,120.000
postlayout_vga_klayout_VCE_V,0.8907
postlayout_vga_klayout_VDS_tail_V,0.4595
postlayout_vga_klayout_VGS_tail_V,0.4143
postlayout_vga_klayout_Ic_A,0.00125687
postlayout_vga_klayout_Id_tail_A,0.00574864
postlayout_vga_klayout_RD_realized_ohm,nan
postlayout_vga_klayout_m,nan
