k,h_mV,h_over_h0,kept
-3,-6.599999959749914e-06,1.377958393646312e-07,no
-2,-6.599999959749914e-06,1.377958393646312e-07,no
-1,0.2520199953572849,-0.005261713183138173,yes
0,-47.896946599999964,1.0,yes
1,-0.11478745714262015,0.002396550621509143,no
2,0.32341325714294383,-0.006752272954763761,yes
3,0.1714176857144219,-0.0035788854589411767,no
4,0.09072582857156265,-0.0018941881479259623,no
5,0.048437971428552544,-0.0010112956016397208,no
6,0.026066400000106234,-0.0005442184074444999,no
7,0.014090400000275194,-0.0002941815919488113,no
8,0.007552971428752372,-0.00015769212788926251,no
9,0.0039054000001000843,-8.153755671974478e-05,no
10,0.0018189714287205566,-3.7976772171121196e-05,no
