k,h_mV,h_over_h0,kept
-3,-1.3877787807814457e-14,7.159324124198203e-17,no
-2,-1.3877787807814457e-14,7.159324124198203e-17,no
-1,-0.0477457971428041,0.0002463127712048393,no
0,-193.84214999999983,1.0,yes
1,-6.056089571428494,0.031242377219962217,yes
2,-0.11302928571423361,0.0005830996288177453,no
3,-0.025151999999961254,0.00012975506101207233,no
4,-0.026821857142956897,0.00013836958134728138,no
5,-0.02972785714293245,0.00015336116083593005,no
6,-0.03216114285718007,0.00016591408451247622,no
7,-0.034083000000065256,0.00017582863169886056,no
8,-0.03557899999998203,0.00018354625142148938,no
9,-0.03674071428568436,0.00018953934572890567,no
10,-0.03764357142857381,0.0001941970383044856,no
