parameter,value
Nx,1
VBE_lut,0.95
VBASE,1.3
Ic_A,0.00287812
ft_Hz,3.48804e+11
gm_S,0.0285055
Cin_F,1.03592e-14
VDD,1.6504
RD_ohm,87
Rs_ohm,86.6296
Cs_F,1.83719e-13
L_H,6.08785e-11
CL_F,2.51348e-14
RPPD_R_ohm,86.7361
I_tail_A,0.00287812
MOS_W_um,252.29
MOS_L_um,1
MOS_M,1
ideal_dc_gain_dB,-0.385
ideal_peaking_28G_dB,5.562
ideal_G_peak_dB,5.181
ideal_f_peak_Hz,2.963e+10
ideal_f_3dB_Hz,9.46484e+10
ideal_CMRR_dB,21.638
ideal_PSRR_dB,120.000
ideal_VCE_V,1.0567
ideal_VDS_tail_V,0.3488
ideal_VGS_tail_V,0.4112
ideal_Ic_A,0.00281547
ideal_Id_tail_A,0.00282296
ideal_RD_realized_ohm,87.0001
ideal_m,0.3200
sbr_sbr_cursor_mV,-166.8261
sbr_sbr_isi_norm,-0.359548
sbr_sbr_isi_abs,0.359548
sbr_sbr_h-3_mV,
sbr_sbr_h-2_mV,
sbr_sbr_h-1_mV,
sbr_sbr_h0_mV,-166.8261
sbr_sbr_h1_mV,45.7362
sbr_sbr_h2_mV,14.2459
sbr_sbr_h3_mV,
sbr_sbr_h4_mV,
sbr_sbr_h5_mV,
sbr_sbr_h6_mV,
sbr_sbr_h7_mV,
sbr_sbr_h8_mV,
sbr_sbr_h9_mV,
sbr_sbr_h10_mV,
pdk_dc_gain_dB,-0.376
pdk_peaking_28G_dB,5.502
pdk_G_peak_dB,5.154
pdk_f_peak_Hz,3.175e+10
pdk_f_3dB_Hz,1.01452e+11
pdk_CMRR_dB,21.639
pdk_PSRR_dB,120.000
pdk_VCE_V,1.0564
pdk_RD_realized_ohm,86.7148
pdk_m,0.3511
pdk_targets_ok,True
pdk_sbr_sbr_cursor_mV,-166.7055
pdk_sbr_sbr_isi_norm,-0.36657
pdk_sbr_sbr_isi_abs,0.36657
pdk_sbr_sbr_h-3_mV,
pdk_sbr_sbr_h-2_mV,
pdk_sbr_sbr_h-1_mV,
pdk_sbr_sbr_h0_mV,-166.7055
pdk_sbr_sbr_h1_mV,48.6651
pdk_sbr_sbr_h2_mV,12.4442
pdk_sbr_sbr_h3_mV,
pdk_sbr_sbr_h4_mV,
pdk_sbr_sbr_h5_mV,
pdk_sbr_sbr_h6_mV,
pdk_sbr_sbr_h7_mV,
pdk_sbr_sbr_h8_mV,
pdk_sbr_sbr_h9_mV,
pdk_sbr_sbr_h10_mV,
