parameter,value
VDD_V,1.6
vtt_V,1.39571
VBASE_V,1.39569
pad_w_um,70
pad_l_um,70
PAD_C_fF,27.68
rsil_w_um,0.5
rsil_l_um,2.35
rsil_R_ohm,50.258
vtt_R_top_ohm,199.43
vtt_R_bot_ohm,1362.37
Idiv_mA,1.0244
esd_leak_pA,1.191
vcm_pad_V,1.3957
IL_dc_dB,-5.999
IL_28GHz_dB,-6.683
f_IL_3dB_Hz,6.77831e+10
S11_dc_dB,-51.890
S11_28GHz_dB,-18.206
f_S11_-10dB_Hz,5.73444e+10
C_pad_per_side_fF,27.7
C_esd_per_side_fF,50.9
C_shunt_per_side_fF,78.6
C_shunt_diff_fF,39.3
C_extracted_diff_fF,45.9
f_Zin_3dB_Hz,3.46737e+10
sbr_cursor_mV,50.0592
sbr_isi_norm,0
sbr_isi_abs,0
term_eye_height_mV,50.13
term_eye_width_UI,0.8525
term_eye_width_ps,15.223
term_eye_pp_swing_mV,50.13
term_eye_sample_phase_UI,0.6454
