k,h_mV,h_over_h0,kept
-3,3.469446951953614e-15,6.930690738349336e-17,no
-2,3.469446951953614e-15,6.930690738349336e-17,no
-1,3.469446951953614e-15,6.930690738349336e-17,no
0,50.05917999999987,1.0,yes
1,0.06875428571425794,0.0013734600869262765,no
2,3.571428556414394e-05,7.134412821812909e-07,no
3,5.714285587864782e-06,1.1415060310346267e-07,no
4,3.469446951953614e-15,6.930690738349336e-17,no
5,3.469446951953614e-15,6.930690738349336e-17,no
6,3.469446951953614e-15,6.930690738349336e-17,no
7,3.469446951953614e-15,6.930690738349336e-17,no
8,3.469446951953614e-15,6.930690738349336e-17,no
9,3.469446951953614e-15,6.930690738349336e-17,no
10,3.469446951953614e-15,6.930690738349336e-17,no
