freq_Hz,gain_dB,gd_ps
1000000.0,-1.325525810300494,nan
1011583.97,-1.3254364696587917,nan
1023302.12,-1.3253450659260961,nan
1035156.02,-1.3252515586972047,nan
1047147.23,-1.325155887335222,nan
1059277.35,-1.325058011442224,nan
1071547.98,-1.3249578703892895,nan
1083960.76,-1.3248554237862789,nan
1096517.32,-1.324750631246774,nan
1109219.34,-1.3246434119206825,nan
1122068.5,-1.3245337254308867,nan
1135066.51,-1.32442151117116,nan
1148215.08,-1.3243067085405802,nan
1161515.97,-1.3241892569437037,nan
1174970.93,-1.3240691160231786,nan
1188581.75,-1.323946204962097,nan
1202350.24,-1.3238204631825647,nan
1216278.23,-1.323691850344472,nan
1230367.55,-1.3235602654192196,nan
1244620.09,-1.323425647849156,nan
1259037.73,-1.3232879573141192,nan
1273622.38,-1.323147092808938,nan
1288375.98,-1.3230030140281965,nan
1303300.48,-1.3228555997543427,nan
1318397.87,-1.3227048299280066,nan
1333670.15,-1.3225505833506803,nan
1349119.34,-1.3223928197506132,nan
1364747.49,-1.3222314381788074,nan
1380556.68,-1.322066357925967,nan
1396549.0,-1.3218974780662394,nan
1412726.58,-1.3217247583673912,nan
1429091.56,-1.321548077699287,nan
1445646.11,-1.3213673756253297,nan
1462392.42,-1.32118251081671,nan
1479332.73,-1.3209934430887948,nan
1496469.27,-1.3208000715921,nan
1513804.32,-1.3206022550437522,nan
1531340.18,-1.3203999532998056,nan
1549079.17,-1.3201930251100187,nan
1567023.65,-1.3199813899135628,nan
1585176.0,-1.319764926720253,nan
1603538.63,-1.319543534781785,nan
1622113.96,-1.3193171133684136,nan
1640904.48,-1.3190855415487266,nan
1659912.66,-1.318848698413255,nan
1679141.03,-1.318606483294881,nan
1698592.15,-1.3183587753284676,nan
1718268.58,-1.3181054334544229,nan
1738172.95,-1.317846357076284,nan
1758307.89,-1.31758140518622,nan
1778676.06,-1.3173104570220484,nan
1799280.19,-1.3170333918489427,nan
1820122.99,-1.316750048529518,nan
1841207.23,-1.3164603063902462,nan
1862535.72,-1.3161640245736836,nan
1884111.27,-1.3158610420429113,nan
1905936.75,-1.3155512382239534,nan
1928015.06,-1.3152344521522716,nan
1950349.12,-1.3149105431145443,nan
1972941.9,-1.3145793502254532,nan
1995796.39,-1.314240712642355,nan
2018915.63,-1.3138944493578721,nan
2042302.68,-1.3135404400370574,nan
2065960.65,-1.3131784835569125,nan
2089892.67,-1.3128084394680826,nan
2114101.91,-1.312430086546288,nan
2138591.6,-1.3120433046514124,nan
2163364.97,-1.3116478726716276,nan
2188425.32,-1.3112436099659994,nan
2213775.97,-1.3108303359539124,nan
2239420.27,-1.3104078701168917,nan
2265361.64,-1.3099760118009074,nan
2291603.52,-1.3095345604219963,nan
2318149.37,-1.3090832952709206,nan
2345002.74,-1.3086220361101664,nan
2372167.17,-1.3081505623839986,nan
2399646.28,-1.3076686738145176,nan
2427443.7,-1.3071761298192286,nan
2455563.13,-1.3066727302928884,nan
2484008.29,-1.306158214644844,nan
2512782.96,-1.3056324031464948,nan
2541890.95,-1.305095035403515,nan
2571336.13,-1.3045458511317185,nan
2601122.4,-1.3039846507175836,nan
2631253.72,-1.3034111740957308,nan
2661734.07,-1.302825161321084,nan
2692567.51,-1.3022263727541636,nan
2723758.12,-1.3016145285172354,nan
2755310.04,-1.300989369048557,nan
2787227.46,-1.300350634921939,nan
2819514.61,-1.2996980668507634,nan
2852175.78,-1.2990313653436805,nan
2885215.28,-1.2983502714149915,nan
2918637.52,-1.2976544858894492,nan
2952446.92,-1.296943709761753,nan
2986647.97,-1.2962176643692622,nan
3021245.2,-1.2954760510567467,nan
3056243.2,-1.2947185511900927,nan
3091646.62,-1.2939448664954045,nan
3127460.15,-1.2931546988951415,nan
3163688.54,-1.2923477101963965,nan
3200336.61,-1.2915235825859348,nan
3237409.2,-1.2906819984722204,nan
3274911.24,-1.2898226404917073,nan
3312847.7,-1.288945131062943,nan
3351223.62,-1.288049173465087,nan
3390044.08,-1.287134390630866,nan
3429314.24,-1.2862004662070035,nan
3469039.3,-1.2852470236761293,nan
3509224.53,-1.284273706957351,nan
3549875.27,-1.2832801804032177,nan
3590996.91,-1.2822660482550208,nan
3632594.9,-1.2812309553510068,nan
3674674.75,-1.2801745267200153,nan
3717242.06,-1.2790963877304797,nan
3760302.47,-1.2779961439742835,nan
3803861.69,-1.276873421534694,nan
3847925.5,-1.2757278468630262,nan
3892499.74,-1.2745589864360682,nan
3937590.32,-1.273366487609934,nan
3983203.24,-1.2721499176806512,nan
4029344.53,-1.2709088846050045,nan
4076020.32,-1.2696429967711584,nan
4123236.81,-1.2683518228036057,nan
4171000.24,-1.2670349519048305,nan
4219316.97,-1.2656919938523354,nan
4268193.4,-1.2643224986200299,nan
4317636.01,-1.262926076981348,nan
4367651.36,-1.2615023000375976,nan
4418246.08,-1.2600507193473787,nan
4469426.9,-1.2585709472788835,nan
4521200.59,-1.2570625365102848,nan
4573574.03,-1.2555250603891133,nan
4626554.16,-1.253958092859083,nan
4680148.0,-1.252361208474331,nan
4734362.68,-1.250733982413808,nan
4789205.38,-1.2490759704374041,nan
4844683.38,-1.2473867490293613,nan
4900804.03,-1.245665895343492,nan
4957574.78,-1.2439129671717288,nan
5015003.16,-1.242127543064922,nan
5073096.78,-1.2403092022898503,nan
5131863.37,-1.238457544878859,nan
5191310.7,-1.2365721115054171,nan
5251446.67,-1.2346524836917543,nan
5312279.25,-1.232698283781525,nan
5373816.52,-1.2307090748297458,nan
5436066.63,-1.22868444073343,nan
5499037.84,-1.2266240062320095,nan
5562738.51,-1.2245273568683754,nan
5627177.09,-1.222394079047183,nan
5692362.12,-1.2202238400198253,nan
5758302.25,-1.218016207918088,nan
5825006.23,-1.215770831732743,nan
5892482.91,-1.213487361321003,nan
5960741.24,-1.2111654074792886,nan
6029790.26,-1.208804641841153,nan
6099639.15,-1.206404697010609,nan
6170297.17,-1.2039652863600883,nan
6241773.68,-1.2014860642906688,nan
6314078.18,-1.1989667061040339,nan
6387220.25,-1.196406947863092,nan
6461209.6,-1.193806486660928,nan
6536056.03,-1.1911650603941886,nan
6611769.49,-1.188482387958346,nan
6688360.0,-1.1857582489422027,nan
6765837.74,-1.1829923840135674,nan
6844212.98,-1.1801846143939934,nan
6923496.11,-1.1773347024859182,nan
7003697.66,-1.1744424911884817,nan
7084828.26,-1.171507804373642,nan
