t_ui,v_outp,v_outn
0.015999999999999945,1.3679988,1.44047701
0.07199999999999976,1.36800027,1.44047697
0.12799999999999956,1.36800136,1.44047716
0.18399999999999936,1.3680022,1.44047749
0.2399999999999992,1.36800286,1.4404779
0.295999999999999,1.3680034,1.44047834
0.3520000000000017,1.36800385,1.4404788
0.4080000000000015,1.36800425,1.44047925
0.4640000000000013,1.3680046,1.4404797
0.5200000000000011,1.36800493,1.44048012
0.576000000000001,1.36800524,1.44048053
0.6320000000000007,1.36800553,1.44048092
0.6880000000000005,1.36800581,1.44048129
0.7440000000000003,1.36800607,1.44048163
0.8000000000000002,1.36800633,1.44048197
0.856,1.36800659,1.44048228
0.9119999999999998,1.36800683,1.44048258
0.9679999999999995,1.36800707,1.44048287
1.0239999999999994,1.3680073,1.44048314
1.0799999999999992,1.36800753,1.44048341
1.135999999999999,1.36800775,1.44048366
1.1920000000000017,1.36800797,1.4404839
1.2480000000000016,1.36800818,1.44048414
1.3040000000000014,1.36800838,1.44048436
1.3600000000000012,1.36800859,1.44048458
1.4160000000000008,1.36800879,1.44048479
1.4720000000000006,1.36800898,1.44048499
1.5280000000000005,1.36800917,1.44048519
1.5840000000000003,1.36800936,1.44048538
1.6400000000000001,1.36800954,1.44048557
1.696,1.36800972,1.44048575
1.7519999999999998,1.3680099,1.44048592
1.8079999999999996,1.36801007,1.44048609
1.8639999999999994,1.36801024,1.44048626
1.9199999999999993,1.36801041,1.44048642
1.975999999999999,1.36801057,1.44048658
1.6000000010787207e-06,1.36801064,1.44048665
0.005601599999999901,1.36799865,1.44049868
0.01680160000000044,1.36797736,1.44052011
0.03920160000000152,1.36803655,1.44046395
0.08400160000000079,1.36912328,1.43942215
0.1400016000000006,1.37291433,1.43578652
0.19600160000000041,1.3794614,1.42945318
0.2520016000000002,1.3882917,1.42076523
0.25760159999999904,1.38930196,1.41975984
0.2688015999999996,1.39135112,1.41771639
0.29120160000000067,1.39552629,1.41353142
0.3360015999999999,1.40354552,1.40543821
0.39200159999999973,1.41213985,1.39671766
0.44800159999999956,1.41880307,1.3899495
0.5040015999999994,1.42368559,1.38500063
0.5600015999999991,1.42710686,1.38154602
0.6160015999999989,1.42939889,1.37924411
0.6720016000000016,1.43085594,1.37779131
0.7280016000000015,1.43171979,1.37693906
0.7840016000000013,1.43217876,1.37649425
0.8400016000000011,1.43237349,1.37631334
0.8960016000000008,1.43240514,1.37629349
0.9520016000000007,1.43234376,1.37636391
0.9999992000000002,1.43225252,1.37646053
1.005599199999999,1.43225243,1.37646107
1.0167991999999995,1.43224937,1.37646518
1.0391992000000005,1.43214355,1.37657794
1.0839991999999998,1.43100108,1.37777791
1.1399991999999997,1.4272355,1.38169965
1.1959991999999995,1.42076821,1.38834052
1.2519991999999993,1.41194769,1.39721708
1.2575992000000011,1.4109294,1.39822912
1.2687992000000017,1.40886021,1.40028096
1.2911991999999997,1.40462323,1.40445591
1.335999199999999,1.39642374,1.41245854
1.3919992000000017,1.38757666,1.42102025
1.4479992000000015,1.38070331,1.42765524
1.5039992000000013,1.37567728,1.43252106
1.5599992000000011,1.37217168,1.43593708
1.615999200000001,1.36983989,1.43823295
1.6719992000000008,1.36837309,1.43970023
1.7279992000000006,1.36751815,1.44057836
1.7839992000000005,1.36707835,1.44105378
1.8399992000000003,1.36690737,1.44126578
1.8959992,1.36690033,1.44131456
1.9519991999999997,1.36698496,1.44126956
0.007999199999999615,1.3671134,1.44117709
0.06399919999999942,1.36725555,1.44106657
0.11999919999999922,1.36739365,1.44095564
0.17599919999999902,1.36751831,1.44085392
0.23199920000000174,1.36762547,1.44076585
0.28799920000000157,1.36771441,1.44069265
0.34399920000000134,1.36778622,1.44063372
0.39999920000000116,1.36784294,1.44058748
0.455999200000001,1.3678869,1.44055203
0.5119992000000008,1.36792044,1.44052539
0.5679992000000006,1.36794566,1.44050578
0.6239992000000004,1.36796441,1.4404916
0.6799992000000002,1.3679782,1.44048158
0.7359992,1.36798825,1.44047465
0.7919991999999998,1.36799552,1.44047
0.8479991999999996,1.36800075,1.44046698
0.9039991999999994,1.3680045,1.44046512
0.9599991999999993,1.36800721,1.44046407
1.015999199999999,1.36800916,1.44046357
1.0719992000000018,1.36801059,1.44046344
1.1279992000000016,1.36801165,1.44046355
1.1839992000000013,1.36801247,1.44046381
1.239999200000001,1.36801311,1.44046416
1.295999200000001,1.36801364,1.44046455
1.3519992000000007,1.36801409,1.44046497
1.4079992000000006,1.36801448,1.44046539
1.4639992000000004,1.36801484,1.4404658
1.5199992000000002,1.36801517,1.4404662
1.5759992,1.36801548,1.4404666
1.6319991999999999,1.36801577,1.44046697
1.6879991999999997,1.36801606,1.44046733
1.7439991999999995,1.36801634,1.44046767
