parameter,value
vga_ideal_dc_gain_dB,-2.387
vga_ideal_peaking_28G_dB,-0.016
vga_ideal_G_peak_dB,-1.760
vga_ideal_f_peak_Hz,8.05611e+08
vga_ideal_f_3dB_Hz,6.40461e+10
vga_ideal_CMRR_dB,59.272
vga_ideal_PSRR_dB,120.000
vga_ideal_VCE_V,0.7284
vga_ideal_VDS_tail_V,0.7714
vga_ideal_VGS_tail_V,0.4154
vga_ideal_Ic_A,0.000591172
vga_ideal_Id_tail_A,0.00596674
vga_ideal_RD_realized_ohm,nan
vga_ideal_m,nan
vga_ideal_eye_height_mV,76.73
vga_ideal_eye_width_UI,0.6275
vga_ideal_eye_width_ps,11.205
vga_ideal_eye_pp_swing_mV,80.02
vga_ideal_eye_sample_phase_UI,0.1050
