k,h_mV,h_over_h0,kept
-3,-6.576000009805849e-05,5.685224003833845e-07,no
-2,-6.576000009805849e-05,5.685224003833845e-07,no
-1,0.10695920785708267,-0.000924706592204055,no
0,-115.6682657600001,1.0,yes
1,0.03401066857137644,-0.0002940362972325108,no
2,0.03197324000001098,-0.00027642188451543144,no
3,0.014710382857241076,-0.00012717734428355335,no
4,0.005328239999979497,-4.6064838657087276e-05,no
5,-0.0010614742856863352,9.176884244886896e-06,no
6,-0.0057031885713840595,4.9306424142448856e-05,no
7,-0.009173759999922535,7.93109496338188e-05,no
8,-0.011796188571429134,0.00010198292931879023,no
9,-0.013797188571350514,0.00011928240196821382,no
10,-0.015326760000078772,0.00013250617962821577,no
