k,h_mV,h_over_h0,kept
-3,-1.3877787807814457e-14,8.99575887874134e-17,no
-2,-1.3877787807814457e-14,8.99575887874134e-17,no
-1,0.0980366114283891,-0.0006354858064640881,no
0,-154.27034000000006,1.0,yes
1,-0.12587828571449122,0.0008159590865910529,no
2,-0.024682857142919422,0.00015999742492898771,no
3,-0.022461000000036684,0.00014559506383428385,no
4,-0.024742000000172296,0.00016038079646529777,no
5,-0.027110285714462834,0.00017573232621684003,no
6,-0.02905428571432143,0.00018833358190771746,no
7,-0.030594000000130902,0.000198314206088681,no
8,-0.03179942857143094,0.00020612794767569016,no
9,-0.03276057142866107,0.00021235819813880655,no
10,-0.033504857143026076,0.00021718275297134926,no
