k,h_mV,h_over_h0,kept
-3,-6.322271432309148e-05,5.465409651232488e-07,no
-2,-7.588000001945705e-05,6.559593160181534e-07,no
-1,0.10694909000001844,-0.0009245420651975114,no
0,-115.67790587999988,1.0,yes
1,0.032818977142924255,-0.00028370998673652933,no
2,0.031043405714416883,-0.00026836071657988173,no
3,0.014097691428635602,-0.00012187021645481758,no
4,0.004908120000107371,-4.2429191320241215e-05,no
5,-0.0013298800001000813,1.1496404520666645e-05,no
6,-0.005888880000043789,5.0907560568676803e-05,no
7,-0.009303880000002816,8.042918765882854e-05,no
8,-0.011886308571495576,0.0001027534902285144,no
9,-0.01384730857146973,0.000119705733485826,no
10,-0.015365594285597044,0.00013283084759104096,no
