k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,2.3157878234286744,-0.9671763978268919,yes
0,-2.3943799999999182,1.0,yes
1,0.00028285714291444256,-0.00011813377279899273,no
2,2.0000000100495186e-05,-8.352893066470597e-06,no
3,3.928571449104519e-05,-1.640746852673616e-05,no
4,3.000000026176508e-05,-1.2529339646073766e-05,no
5,2.0000000100495186e-05,-8.352893066470597e-06,no
6,2.0000000100495186e-05,-8.352893066470597e-06,no
7,2.0000000100495186e-05,-8.352893066470597e-06,no
8,2.0000000100495186e-05,-8.352893066470597e-06,no
9,2.0000000100495186e-05,-8.352893066470597e-06,no
10,2.0000000100495186e-05,-8.352893066470597e-06,no
