k,h_mV,h_over_h0,kept
-3,-2.0559999869274037e-05,2.2444064493049915e-07,no
-2,-2.0559999869274037e-05,2.2444064493049915e-07,no
-1,0.11421307928580529,-0.0012467926720521666,no
0,-91.60551055999994,1.0,yes
1,0.2485567257143986,-0.002713338140849054,no
2,0.10977058285700825,-0.0011982967202077927,no
3,0.04526229714283246,-0.000494100156924364,no
4,0.019571868571515487,-0.00021365383427120652,no
5,0.007980011428570289,-8.711278808214848e-05,no
6,0.0017942971429398217,-1.958721841045348e-05,no
7,-0.002051560000071449,2.239559593664089e-05,no
8,-0.00468941714287796,5.1191430670608806e-05,no
9,-0.006611845714293058,7.217737965624261e-05,no
10,-0.008051560000075866,8.789383903714221e-05,no
