freq_Hz,gain_dB,gd_ps
1000000.0,2.4422203221965226,-1577.7112684683464
1011583.97,2.442354135838542,-1577.4875568982038
1023302.12,2.4424910553272206,-1577.0185481010183
1035156.02,2.442631132968937,-1576.5123939580328
1047147.23,2.4427744341763935,-1575.968297770386
1059277.35,2.442921050580205,-1575.451236597591
1071547.98,2.4430710475757453,-1574.928898412923
1083960.76,2.443224503662393,-1574.3338864920581
1096517.32,2.44338149732991,-1573.761849452197
1109219.34,2.4435421070581187,-1573.2118162141114
1122068.5,2.443706424428264,-1572.5887193234585
1135066.51,2.4438745278985485,-1571.9839256865478
1148215.08,2.4440464959162096,-1571.3677517621911
1161515.97,2.444222433139017,-1570.7361838576628
1174970.93,2.444402417989598,-1570.0919887146058
1188581.75,2.4445865419888606,-1569.4002921908716
1202350.24,2.4447749097542,-1568.7218888497457
1216278.23,2.4449676127780067,-1568.026372969749
1230367.55,2.4451647425381413,-1567.3397066358752
1244620.09,2.44536640360666,-1566.6053120825131
1259037.73,2.445572687430034,-1565.823333610195
1273622.38,2.445783724764437,-1565.0747159303044
1288375.98,2.445999607020941,-1564.3046433632574
1303300.48,2.446220451809319,-1563.5102508302746
1318397.87,2.446446350503865,-1562.6926818326108
1333670.15,2.4466774468894923,-1561.8494827021655
1349119.34,2.446913832299189,-1561.0074288246394
1364747.49,2.447155637365921,-1560.138677037822
1380556.68,2.4474029926980916,-1559.2423220633923
1396549.0,2.447656002667252,-1558.3178924529764
1412726.58,2.447914824043247,-1557.389544786631
1429091.56,2.4481795611459596,-1556.4317357117936
1445646.11,2.448450344479655,-1555.4441435812553
1462392.42,2.448727330728089,-1554.448857227041
1479332.73,2.4490106503345386,-1553.4448893339943
1496469.27,2.449300446814819,-1552.4088084398604
1513804.32,2.449596850548455,-1551.3161118533674
1531340.18,2.449900031189328,-1550.2347491691023
1549079.17,2.450210132148196,-1549.142097561753
1567023.65,2.45052729679898,-1547.9687631879597
1585176.0,2.4508516946794434,-1546.8029221470385
1603538.63,2.4511834952841722,-1545.6239449871343
1622113.96,2.4515228418633392,-1544.4060125211
1640904.48,2.4518699038240137,-1543.1509148666717
1659912.66,2.4522248767235517,-1541.8777733301542
1679141.03,2.452587916771097,-1540.5863781997418
1698592.15,2.4529591932251655,-1539.2348035146442
1718268.58,2.4533389145836186,-1537.8828627283542
1738172.95,2.453727249993812,-1536.490529026205
1758307.89,2.454124394739406,-1535.0570553048078
1778676.06,2.4545305440418455,-1533.6198173181713
1799280.19,2.4549458930583397,-1532.1208052169973
1820122.99,2.455370636879831,-1530.597936205859
1841207.23,2.4558049967158073,-1529.050345504775
1862535.72,2.456249180607143,-1527.4581734013868
1884111.27,2.4567033834270458,-1525.8405036394759
1905936.75,2.457167852339176,-1524.1769266857393
1928015.06,2.457642795146281,-1522.4858921866237
1950349.12,2.4581284457480024,-1520.7491068190009
1972941.9,2.458625037952446,-1518.9657137006247
1995796.39,2.459132805473287,-1517.1697753653082
2018915.63,2.459651981926789,-1515.326698594462
2042302.68,2.460182827002492,-1513.4184920965781
2065960.65,2.46072560027987,-1511.4957465271825
2089892.67,2.4612805350544216,-1509.5248564961437
2114101.91,2.4618479168486838,-1507.5041701299722
2138591.6,2.4624280048906555,-1505.4347863522732
2163364.97,2.463021058283753,-1503.3311152483814
2188425.32,2.46362737524799,-1501.1935815680504
2213775.97,2.4642472146177004,-1498.9743607536523
2239420.27,2.4648808874096906,-1496.7350905643607
2265361.64,2.465528691405688,-1494.445024391981
2291603.52,2.466190898074521,-1492.1031575504053
2318149.37,2.4668678310381527,-1489.7102339497083
2345002.74,2.4675598006675896,-1487.2498310101762
2372167.17,2.468267130232059,-1484.7671323321872
2399646.28,2.468990129740974,-1482.2173894971747
2427443.7,2.469729122088701,-1479.6005436871708
2455563.13,2.4704844691859122,-1476.9451519335898
2484008.29,2.47125648044497,-1474.2228935255155
2512782.96,2.4720455304177062,-1471.4469346702354
2541890.95,2.4728519411491447,-1468.6179173695955
2571336.13,2.4736760997937273,-1465.7214908864717
2601122.4,2.4745183671203024,-1462.7714340244015
2631253.72,2.4753791036450674,-1459.7413297146434
2661734.07,2.476258695749297,-1456.6570429925446
2692567.51,2.4771575295355506,-1453.531790814524
2723758.12,2.4780760038791403,-1450.314219998892
2755310.04,2.4790145042954945,-1447.0290293081066
2787227.46,2.4799734290524187,-1443.690295084663
2819514.61,2.480953215265008,-1440.2843778915894
2852175.78,2.4819542605391414,-1436.800364874031
2885215.28,2.482977001299313,-1433.2257255644315
2918637.52,2.4840218605513793,-1429.5964304891402
2952446.92,2.485089287027794,-1425.9015039654798
2986647.97,2.4861797290649164,-1422.1289750013207
3021245.2,2.487293634591343,-1418.2680466040565
3056243.2,2.4884314641603353,-1414.3298758112003
3091646.62,2.4895936909289667,-1410.3267809356598
3127460.15,2.4907807875956762,-1406.236347599308
3163688.54,2.4919932263869313,-1402.0484176062123
3200336.61,2.4932315051179867,-1397.7852632599688
3237409.2,2.4944961080543364,-1393.4477607102826
3274911.24,2.4957875580398343,-1389.0249771030035
3312847.7,2.4971063512956464,-1384.5075276705238
3351223.62,2.498453009541516,-1379.8957332079378
3390044.08,2.4998280408777753,-1375.2013352918896
3429314.24,2.501232004904856,-1370.41413166718
3469039.3,2.5026654215026993,-1365.5355975712832
3509224.53,2.5041288359490688,-1360.5560616065711
3549875.27,2.5056227928423884,-1355.4861732091229
3590996.91,2.507147862115491,-1350.3273872164702
3632594.9,2.5087046129652633,-1345.0613044170498
3674674.75,2.5102936008206744,-1339.6885863266523
3717242.06,2.5119154063616236,-1334.220076051205
3760302.47,2.5135706354735543,-1328.656818387214
3803861.69,2.515259841175508,-1322.9906393930457
3847925.5,2.516983653663951,-1317.2049317468664
3892499.74,2.5187426502230617,-1311.318690806263
3937590.32,2.5205374462270287,-1305.3333849850121
3983203.24,2.522368669088671,-1299.2324741691084
4029344.53,2.5242369192481062,-1293.0179150893637
4076020.32,2.5261428351142756,-1286.6908214475666
4123236.81,2.528087041056099,-1280.2616199787408
4171000.24,2.530070160371734,-1273.7066254808994
4219316.97,2.5320928412190753,-1267.0352998397655
4268193.4,2.5341557435813318,-1260.258496348531
4317636.01,2.536259487331015,-1253.3532495519748
4367651.36,2.5384047300648147,-1246.3373034249248
4418246.08,2.5405921410931125,-1239.1968514167381
4469426.9,2.5428223625033897,-1231.925925068147
4521200.59,2.5450960610000335,-1224.5500895292598
4573574.03,2.547413888970154,-1217.0408347374862
4626554.16,2.5497765362783307,-1209.4002055608041
4680148.0,2.5521846524861362,-1201.6456184746812
4734362.68,2.554638898652949,-1193.7641544639966
4789205.38,2.55713997316686,-1185.7512073881471
4844683.38,2.559688508150708,-1177.6092570250244
4900804.03,2.5622851988606654,-1169.3409444699444
4957574.78,2.564930713043841,-1160.9415477844298
5015003.16,2.567625716792215,-1152.4139512647441
5073096.78,2.57037087450561,-1143.7538065952544
5131863.37,2.573166835936505,-1134.9639127505955
5191310.7,2.576014300740848,-1126.040824318375
5251446.67,2.5789138892626258,-1116.9803838635291
5312279.25,2.581866284577308,-1107.7924806913818
5373816.52,2.5848721291410155,-1098.4673657271487
5436066.63,2.587932063505163,-1089.014256407926
5499037.84,2.5910467262776287,-1079.4304023813115
5562738.51,2.59421676697005,-1069.7061821454236
5627177.09,2.5974427944077267,-1059.8515874423626
5692362.12,2.6007254411460607,-1049.8578611042658
5758302.25,2.6040653118952015,-1039.7403908402962
5825006.23,2.607463009263679,-1029.4911420398116
5892482.91,2.610919120857718,-1019.0957311245265
5960741.24,2.6144342192681065,-1008.5759748878585
6029790.26,2.6180089006116622,-997.929800120531
6099639.15,2.621643694518774,-987.149454756682
6170297.17,2.6253391541126976,-976.2448028621709
6241773.68,2.629095804579133,-965.2031994603285
6314078.18,2.6329141560142717,-954.0340328292905
6387220.25,2.6367947034174954,-942.7475839936609
6461209.6,2.6407379395029995,-931.3262115267734
6536056.03,2.644744303418605,-919.7796938670797
6611769.49,2.6488142576656593,-908.1178578436005
6688360.0,2.6529482112095866,-896.3399362685258
6765837.74,2.6571465707446724,-884.4350024223418
6844212.98,2.661409715090726,-872.4128280849742
6923496.11,2.665737995227839,-860.2783138040795
7003697.66,2.6701317471081945,-848.0310945177748
7084828.26,2.6745912661281612,-835.6761813602204
7166898.67,2.679116858248303,-823.2085695936254
7249919.79,2.683708763412155,-810.6381946658566
7333902.62,2.6883672066851663,-797.9653998725915
7418858.3,2.6930923727908374,-785.1903894004394
7504798.11,2.6978844571341587,-772.3230229411815
7591733.44,2.702743563941133,-759.3639473183994
7679675.82,2.7076698209702963,-746.3136093063969
7768636.93,2.712663290448843,-733.1728929907308
7858628.56,2.7177240073622064,-719.9472664650133
7949662.65,2.722851979524804,-706.6506747299636
8041751.28,2.728047162274942,-693.2757059948775
8134906.65,2.733309483991823,-679.8273918739014
8229141.14,2.738638846177035,-666.3156176307415
8324467.24,2.744035085540683,-652.7373442844012
8420897.59,2.7494980374987787,-639.1023642646225
8518444.98,2.7550274476350594,-625.415946747377
8617122.36,2.760623073133952,-611.6755035167682
8716942.82,2.7662845943223817,-597.8945201127751
8817919.59,2.7720116528135907,-584.0747141161972
8920066.08,2.7778038516566306,-570.2210785490896
9023395.83,2.783660755489794,-556.3395887867438
9127922.54,2.7895818906978223,-542.4276022858406
9233660.09,2.795566707799378,-528.5021196053777
9340622.5,2.8016146572375105,-514.5648058634749
9448823.96,2.807725088829145,-500.61724283232803
