freq_Hz,gain_dB,gd_ps
1000000.0,1.5736199938291855,-1473.363802138255
1011583.97,1.5737454022997646,-1473.1069594405358
1023302.12,1.5738737075089588,-1472.6420081649487
1035156.02,1.5740049672984733,-1472.1814327598229
1047147.23,1.5741392539958392,-1471.6567234758254
1059277.35,1.5742766399209933,-1471.1659439498385
1071547.98,1.5744172118778654,-1470.676419333656
1083960.76,1.5745610131865264,-1470.121363342659
1096517.32,1.5747081161433065,-1469.5961648259836
1109219.34,1.5748586365092263,-1469.0682846504312
1122068.5,1.5750126030882643,-1468.4739178705167
1135066.51,1.5751701316217637,-1467.90605578829
1148215.08,1.5753312798771306,-1467.3623523257752
1161515.97,1.5754961490831019,-1466.7515745196768
1174970.93,1.5756648114765157,-1466.1033435966629
1188581.75,1.5758373537731616,-1465.5043420523607
1202350.24,1.5760138626767908,-1464.8673539196286
1216278.23,1.5761944393676306,-1464.1902295372665
1230367.55,1.5763791560347258,-1463.530200539664
1244620.09,1.576568128319863,-1462.856455158076
1259037.73,1.5767614428727712,-1462.1430783280014
1273622.38,1.5769591863290053,-1461.4139993061826
1288375.98,1.5771614887713294,-1460.6974679492296
1303300.48,1.5773684223156645,-1459.9637909276414
1318397.87,1.5775801170099575,-1459.1866107885494
1333670.15,1.577796659423176,-1458.3917621791466
1349119.34,1.5780181650792726,-1457.6043785422585
1364747.49,1.5782447494820255,-1456.7715199459874
1380556.68,1.5784765281143658,-1455.9182198493902
1396549.0,1.578713616437696,-1455.0687542031826
1412726.58,1.5789561298911836,-1454.1974108258894
1429091.56,1.5792041983749212,-1453.302942905341
1445646.11,1.5794579517636391,-1452.3855725776218
1462392.42,1.5797174909398746,-1451.443122622468
1479332.73,1.5799829746928675,-1450.499168462161
1496469.27,1.5802545183341141,-1449.5070693201324
1513804.32,1.5805322661114185,-1448.4874300012723
1531340.18,1.5808163477598314,-1447.464470431844
1549079.17,1.581106921945104,-1446.4352663424047
1567023.65,1.5814041183370011,-1445.3558676564935
1585176.0,1.5817080810522355,-1444.2462025335074
1603538.63,1.5820189831300264,-1443.1510002965015
1622113.96,1.582336954132527,-1442.0031509655223
1640904.48,1.5826621670200605,-1440.8031495771177
