freq_Hz,gain_dB,gd_ps
1000000.0,-3.4747833966775774,-871.9312536573653
1011583.97,-3.4747094041717745,-871.811571048211
1023302.12,-3.4746337277250245,-871.5747538363202
1035156.02,-3.474556289632601,-871.2804394621517
1047147.23,-3.4744770640256184,-870.9611568978972
1059277.35,-3.474396025037226,-870.683491522125
1071547.98,-3.474313120887143,-870.3488099835928
1083960.76,-3.474228273882977,-870.020132533075
1096517.32,-3.47414150999668,-869.7304257775822
1109219.34,-3.47405272562672,-869.4134010474113
1122068.5,-3.4739618949205955,-869.070224202099
1135066.51,-3.4738689661141153,-868.73065757045
1148215.08,-3.4737739133607186,-868.365094579466
1161515.97,-3.4736766589892767,-868.0009704941716
1174970.93,-3.473577177160424,-867.6405284882039
1188581.75,-3.473475416124664,-867.2507262806291
1202350.24,-3.473371298223978,-866.8906249750298
1216278.23,-3.473264797630748,-866.5023188241514
1230367.55,-3.4731558366964173,-866.0847390994195
1244620.09,-3.4730443636901254,-865.665889452071
1259037.73,-3.4729303527972064,-865.2456967729984
1273622.38,-3.472813726384473,-864.822951787144
1288375.98,-3.4726944068252146,-864.3705242291071
1303300.48,-3.472572368320121,-863.9139727420887
1318397.87,-3.472447507343989,-863.4537565738003
1333670.15,-3.472319798108985,-862.988407555258
1349119.34,-3.4721891630132173,-862.518279512453
1364747.49,-3.472055524462358,-862.0161864045587
1380556.68,-3.4719188307783138,-861.5326196893781
1396549.0,-3.4717790043814656,-861.0176950081149
1412726.58,-3.471635993608067,-860.4698763512223
1429091.56,-3.4714896949870506,-859.9152636600005
1445646.11,-3.4713400568712727,-859.3757001269196
1462392.42,-3.471187001714784,-858.8275994995352
1479332.73,-3.471030451981077,-858.2454380459561
1496469.27,-3.4708703301433923,-857.6541758230583
1513804.32,-3.470706558685041,-857.0517078421592
1531340.18,-3.4705390341954603,-856.4389414432579
1549079.17,-3.47036770508435,-855.7920725136479
1567023.65,-3.470192467963992,-855.1552849769524
1585176.0,-3.470013219460192,-854.5064735212735
1603538.63,-3.4698299339192222,-853.8231222185515
1622113.96,-3.469642430285584,-853.1475615691244
1640904.48,-3.4694507088325235,-852.4376255054661
1659912.66,-3.469254588536386,-851.7130867208522
1679141.03,-3.4690540437953965,-850.9746908888792
1698592.15,-3.468848945419993,-850.2207240366843
1718268.58,-3.4686391901384503,-849.4722516263321
1738172.95,-3.4684246746964256,-848.6872662971656
1758307.89,-3.4682052958575027,-847.8671868784995
1778676.06,-3.4679809504037657,-847.0493787295536
1799280.19,-3.4677515351363826,-846.2153487443147
1820122.99,-3.467516946876208,-845.3446549701413
1841207.23,-3.467277030675306,-844.4753135653833
1862535.72,-3.4670317351877227,-843.5880774816954
1884111.27,-3.466780879617972,-842.6641520134314
1905936.75,-3.466524360878807,-841.7211492490009
1928015.06,-3.4662620759061262,-840.7776902827894
1950349.12,-3.4659938957689524,-839.7968864165919
1972941.9,-3.4657196656741887,-838.7961713028576
