freq_Hz,gain_dB,gd_ps
1000000.0,-8.565821640620431,-509.8651170405342
1011583.97,-8.565776185368835,-509.7886120268005
1023302.12,-8.565729659184505,-509.6175150306375
1035156.02,-8.565682062084651,-509.41281406566435
1047147.23,-8.565633347514764,-509.2405994196918
1059277.35,-8.5655835620655,-509.0683846246415
1071547.98,-8.56553256604054,-508.8297412808671
1083960.76,-8.565480452603804,-508.6533761124667
1096517.32,-8.565427128633385,-508.476526200663
1109219.34,-8.565372547580862,-508.2333898316063
1122068.5,-8.565316709469931,-508.04972173487
1135066.51,-8.565259614324845,-507.83366730290226
1148215.08,-8.56520121560059,-507.5829319437777
1161515.97,-8.565141420184506,-507.3891122520362
1174970.93,-8.565080274674589,-507.16213338203784
1188581.75,-8.565017732530544,-506.900987639014
1202350.24,-8.564953747214068,-506.66447975000295
1216278.23,-8.564888318757056,-506.42359067116365
1230367.55,-8.564821354056601,-506.17705447109887
1244620.09,-8.56475285314824,-505.89765605914033
1259037.73,-8.564682816068318,-505.6394302250329
1273622.38,-8.56461114972073,-505.37651792364676
1288375.98,-8.564537807579564,-505.079088335093
1303300.48,-8.564462836253119,-504.82885793635404
1318397.87,-8.5643860960873,-504.5452522270432
1333670.15,-8.564307633693996,-504.22795878414007
1349119.34,-8.564227355990736,-503.90413479514064
1364747.49,-8.564145263027857,-503.597707992128
1380556.68,-8.564061261729456,-503.30882293652104
1396549.0,-8.563975352150914,-502.9863215250943
1412726.58,-8.563887487786102,-502.6549893615115
1429091.56,-8.5637975755698,-502.3153015821282
1445646.11,-8.563705662127395,-501.94284105616515
1462392.42,-8.563611607838595,-501.60797959936457
1479332.73,-8.563515459333713,-501.2645326064462
1496469.27,-8.563417077001608,-500.86412409963947
1513804.32,-8.563316460918195,-500.47715703669996
1531340.18,-8.563213564601963,-500.1028264635832
1549079.17,-8.563108295016814,-499.71805487616166
1567023.65,-8.563000652249041,-499.3220503562279
1585176.0,-8.562890543272076,-498.89366813402256
1603538.63,-8.562777968179716,-498.4752978615825
1622113.96,-8.5626627873993,-498.0466145716804
1640904.48,-8.562545001034497,-497.58428832912386
1659912.66,-8.56242456263642,-497.15279482784825
1679141.03,-8.562301379206893,-496.68858449941393
1698592.15,-8.562175404309158,-496.21175304294644
1718268.58,-8.562046591511805,-495.74333240172257
1738172.95,-8.56191484783675,-495.2420933469846
1758307.89,-8.561780126865926,-494.7284047510656
1778676.06,-8.561642335636453,-494.22131753860833
1799280.19,-8.561501427744513,-493.70115754659787
1820122.99,-8.561357403341823,-493.1488755732566
1841207.23,-8.56121007638982,-492.6016507982684
1862535.72,-8.561059447056595,-492.0598599242901
1884111.27,-8.56090537587368,-491.4675631353504
1905936.75,-8.560747909570201,-490.8789410701034
1928015.06,-8.560586862150592,-490.29512340792047
1950349.12,-8.560422187269912,-489.66114829674257
1972941.9,-8.560253838591253,-489.03041603595665
1995796.39,-8.56008172324357,-488.4030165635211
2018915.63,-8.559905701826592,-487.76048476616756
2042302.68,-8.559725774577853,-487.08642993295064
2065960.65,-8.559541802121753,-486.3805289038602
2089892.67,-8.559353738176952,-485.69313586484566
2114101.91,-8.559161489934429,-484.9908183356935
2138591.6,-8.558964918062985,-484.2564646228718
2163364.97,-8.558763976320957,-483.50713894032765
2188425.32,-8.558558571943328,-482.757810133926
2213775.97,-8.55834856564758,-481.9779146935022
2239420.27,-8.558133911235696,-481.18147789393504
2265361.64,-8.557914515990904,-480.37006429825163
2291603.52,-8.557690240683938,-479.5421583019292
2318149.37,-8.557460992636308,-478.6990817625623
2345002.74,-8.55722667918778,-477.83899597999255
2372167.17,-8.556987207696876,-476.9636286744276
2399646.28,-8.556742439016986,-476.04261806676357
2427443.7,-8.556492280549845,-475.1341295876159
2455563.13,-8.55623659319605,-474.19560923345085
2484008.29,-8.555975330923703,-473.239945462676
2512782.96,-8.555708308160357,-472.26855368428687
2541890.95,-8.555435432402575,-471.2528212388276
2571336.13,-8.555156611170272,-470.23434151315473
2601122.4,-8.554871658978474,-469.1993611486003
