freq_Hz,gain_dB,gd_ps
1000000.0,2.5077547380232708,-1275.400589779135
1011583.97,2.5078640274094273,-1275.2149682827212
1023302.12,2.507975853353667,-1274.7988626460392
1035156.02,2.5080902548026005,-1274.332093556432
1047147.23,2.5082072967279245,-1273.914199951783
1059277.35,2.5083270310809223,-1273.511456513954
1071547.98,2.5084495358362173,-1273.056141115668
1083960.76,2.5085748629331395,-1272.5814729661013
1096517.32,2.508703090333195,-1272.1179612297842
1109219.34,2.5088342569491733,-1271.6334115159277
1122068.5,2.5089684537427597,-1271.1569004327318
1135066.51,2.509105745640215,-1270.6594014553607
1148215.08,2.5092461845472904,-1270.1372143000551
1161515.97,2.5093898744146736,-1269.6220991380226
1174970.93,2.509536867131794,-1269.0530017869914
1188581.75,2.509687240605789,-1268.5166060368545
1202350.24,2.5098410727345,-1267.9835575711897
1216278.23,2.5099984414061813,-1267.3954291313335
1230367.55,2.5101594244991747,-1266.780437681912
1244620.09,2.510324112893119,-1266.1932205885205
1259037.73,2.510492584444815,-1265.606421749834
1273622.38,2.510664930011146,-1264.9623389131814
1288375.98,2.51084122742594,-1264.316428270908
1303300.48,2.5110215675218344,-1263.6672742005662
1318397.87,2.511206054128559,-1262.9868794036663
1333670.15,2.5113947780512555,-1262.3019965552612
1349119.34,2.511587817071418,-1261.5862955989164
1364747.49,2.511785274975919,-1260.8628017869912
1380556.68,2.511987268544585,-1260.157680688898
1396549.0,2.51219388852193,-1259.3941507906827
1412726.58,2.5124052386449285,-1258.6208003738425
1429091.56,2.5126214226328263,-1257.8389154004092
1445646.11,2.512842544186569,-1257.021911900576
1462392.42,2.5130687330030463,-1256.2167402922748
1479332.73,2.5133000797357044,-1255.376098560973
1496469.27,2.513536727046068,-1254.4994979839073
1513804.32,2.5137787655451724,-1253.6321346806021
1531340.18,2.514026337847915,-1252.750539375557
1549079.17,2.5142795475257036,-1251.8311025195335
1567023.65,2.5145385241374365,-1250.8736020069405
1585176.0,2.5148034232248264,-1249.8997549968276
1603538.63,2.5150743352766525,-1248.9311456793184
1622113.96,2.515351428781952,-1247.9442714058148
1640904.48,2.515634820180998,-1246.8965502799879
1659912.66,2.515924651891574,-1245.8504313999897
1679141.03,2.516221079300977,-1244.785113791488
1698592.15,2.5165242317559877,-1243.6784626370388
1718268.58,2.5168342775751826,-1242.5715395799311
1738172.95,2.5171513460330126,-1241.4227695495495
1758307.89,2.5174756053706098,-1240.2329288431192
1778676.06,2.517807210786034,-1239.0388662483472
1799280.19,2.518146330435001,-1237.8221423966845
1820122.99,2.518493119428418,-1236.5813596786859
1841207.23,2.5188477458310503,-1235.2972608714467
1862535.72,2.5192103906574523,-1233.9693150123635
1884111.27,2.5195812218723326,-1232.653733079759
1905936.75,2.5199604203858916,-1231.2933538107413
1928015.06,2.520348167052815,-1229.8883651839442
1950349.12,2.520744642670512,-1228.456737247289
1972941.9,2.521150053967951,-1226.9974303576187
1995796.39,2.521564581618854,-1225.5106858989943
2018915.63,2.5219884192280655,-1223.9950749217517
2042302.68,2.522421786319816,-1222.4340263765484
2065960.65,2.5228648633652546,-1220.8431485310334
2089892.67,2.523317882734692,-1219.223527359372
2114101.91,2.5237810377420544,-1217.5566752511008
2138591.6,2.5242545605968565,-1215.8595646407591
2163364.97,2.524738670431272,-1214.1316775812522
2188425.32,2.5252335992794683,-1212.3565216397535
2213775.97,2.5257395531057703,-1210.5341712670713
2239420.27,2.5262568027232217,-1208.6956661160004
2265361.64,2.5267855539023354,-1206.8241871513628
