parameter,value
vga_pdk_dc_gain_dB,-0.044
vga_pdk_peaking_28G_dB,-0.950
vga_pdk_G_peak_dB,0.511
vga_pdk_f_peak_Hz,5.32177e+08
vga_pdk_f_3dB_Hz,4.27226e+10
vga_pdk_CMRR_dB,59.347
vga_pdk_PSRR_dB,120.000
vga_pdk_VCE_V,0.6699
vga_pdk_VDS_tail_V,0.7709
vga_pdk_VGS_tail_V,0.4154
vga_pdk_Ic_A,0.000593457
vga_pdk_Id_tail_A,0.00596641
vga_pdk_RD_realized_ohm,nan
vga_pdk_m,nan
vga_pdk_eye_height_mV,99.56
vga_pdk_eye_width_UI,0.0613
vga_pdk_eye_width_ps,1.094
vga_pdk_eye_pp_swing_mV,103.09
vga_pdk_eye_sample_phase_UI,0.3113
