time_s,v_outp,v_outn,v_inp,v_inn,vod,vid
0.0,1.44437884,1.37342658,1.275,1.325,0.07095225999999988,-0.050000000000000044
5e-15,1.44437863,1.37342669,1.275,1.325,0.07095194000000005,-0.050000000000000044
7.28944982e-15,1.44437852,1.37342674,1.275,1.325,0.07095178000000013,-0.050000000000000044
1.18683495e-14,1.44437827,1.37342681,1.275,1.325,0.07095146000000008,-0.050000000000000044
2.10261488e-14,1.44437763,1.37342681,1.275,1.325,0.07095081999999997,-0.050000000000000044
3.93417474e-14,1.44437589,1.37342621,1.275,1.325,0.07094968000000001,-0.050000000000000044
7.59729445e-14,1.44437065,1.37342261,1.275,1.325,0.07094803999999999,-0.050000000000000044
1.22867824e-13,1.44436059,1.37341378,1.275,1.325,0.07094681000000014,-0.050000000000000044
1.65577625e-13,1.44434789,1.3734018,1.275,1.325,0.07094609000000007,-0.050000000000000044
2.06746547e-13,1.44433203,1.37338645,1.275,1.325,0.07094558000000006,-0.050000000000000044
2.48264726e-13,1.44431193,1.37336672,1.275,1.325,0.07094521000000009,-0.050000000000000044
2.8954168e-13,1.44428734,1.37334232,1.275,1.325,0.07094502000000014,-0.050000000000000044
3.53976078e-13,1.44423841,1.3732932,1.275,1.325,0.07094521000000009,-0.050000000000000044
4.56156453e-13,1.44413064,1.37318308,1.275,1.325,0.07094756000000002,-0.050000000000000044
5.71662663e-13,1.44395868,1.37300399,1.275,1.325,0.07095468999999999,-0.050000000000000044
6.89938221e-13,1.44372275,1.37275406,1.275,1.325,0.07096868999999995,-0.050000000000000044
8.34873252e-13,1.44334899,1.37235195,1.275,1.325,0.07099703999999996,-0.050000000000000044
9.91484712e-13,1.44284409,1.37180125,1.275,1.325,0.07104283999999983,-0.050000000000000044
1.24874645e-12,1.44181735,1.37066491,1.275,1.325,0.0711524400000001,-0.050000000000000044
1.60117524e-12,1.44011321,1.36874927,1.275,1.325,0.07136394000000013,-0.050000000000000044
2.01297246e-12,1.43787684,1.36619977,1.275,1.325,0.07167707000000001,-0.050000000000000044
2.46794395e-12,1.43534132,1.36327546,1.275,1.325,0.07206585999999993,-0.050000000000000044
3.23373145e-12,1.43148233,1.35877496,1.275,1.325,0.07270736999999983,-0.050000000000000044
4.04302661e-12,1.42843225,1.35517391,1.275,1.325,0.07325833999999998,-0.050000000000000044
5.04302661e-12,1.4264581,1.35279925,1.275,1.325,0.07365885000000016,-0.050000000000000044
6.04302661e-12,1.42631153,1.35256514,1.275,1.325,0.07374638999999994,-0.050000000000000044
7.04302661e-12,1.42753866,1.35395525,1.275,1.325,0.0735834099999999,-0.050000000000000044
8.04302661e-12,1.42961281,1.35635453,1.275,1.325,0.07325828000000012,-0.050000000000000044
9.04302661e-12,1.43207262,1.3592186,1.275,1.325,0.07285402000000007,-0.050000000000000044
1.00430266e-11,1.43457523,1.36214059,1.275,1.325,0.07243464,-0.050000000000000044
1.10430266e-11,1.43690104,1.36485887,1.275,1.325,0.07204217000000002,-0.050000000000000044
1.20430266e-11,1.43893419,1.36723473,1.275,1.325,0.07169945999999983,-0.050000000000000044
1.30430266e-11,1.44063416,1.36921906,1.275,1.325,0.07141510000000006,-0.050000000000000044
1.40430266e-11,1.44200851,1.37082014,1.275,1.325,0.07118837,-0.050000000000000044
1.50430266e-11,1.44309119,1.37207776,1.275,1.325,0.07101343000000004,-0.050000000000000044
1.60430266e-11,1.44392719,1.373045,1.275,1.325,0.07088218999999985,-0.050000000000000044
1.70430266e-11,1.444563,1.3737768,1.275,1.325,0.07078620000000013,-0.050000000000000044
1.80430266e-11,1.44504121,1.37432359,1.275,1.325,0.07071762000000015,-0.050000000000000044
1.90430266e-11,1.44539818,1.37472837,1.275,1.325,0.07066981000000006,-0.050000000000000044
2.00430266e-11,1.44566342,1.37502607,1.275,1.325,0.07063734999999993,-0.050000000000000044
2.10430266e-11,1.44586003,1.37524401,1.275,1.325,0.07061601999999989,-0.050000000000000044
2.20430266e-11,1.44600563,1.37540299,1.275,1.325,0.07060263999999994,-0.050000000000000044
2.30430266e-11,1.44611333,1.37551849,1.275,1.325,0.07059484000000005,-0.050000000000000044
2.40430266e-11,1.44619278,1.37560186,1.275,1.325,0.07059092000000011,-0.050000000000000044
2.50430266e-11,1.44625099,1.3756613,1.275,1.325,0.07058969000000004,-0.050000000000000044
2.60430266e-11,1.44629302,1.37570272,1.275,1.325,0.07059029999999988,-0.050000000000000044
2.70430266e-11,1.44632253,1.37573036,1.275,1.325,0.07059217000000007,-0.050000000000000044
2.80430266e-11,1.44634217,1.37574728,1.275,1.325,0.07059489000000019,-0.050000000000000044
2.90430266e-11,1.44635391,1.37575569,1.275,1.325,0.07059821999999993,-0.050000000000000044
3.00430266e-11,1.44635921,1.37575723,1.275,1.325,0.07060197999999995,-0.050000000000000044
3.10430266e-11,1.44635917,1.37575315,1.275,1.325,0.07060602000000005,-0.050000000000000044
3.20430266e-11,1.44635467,1.37574437,1.275,1.325,0.07061030000000001,-0.050000000000000044
3.30430266e-11,1.4463464,1.37573167,1.275,1.325,0.07061472999999996,-0.050000000000000044
3.40430266e-11,1.44633494,1.37571564,1.275,1.325,0.07061930000000016,-0.050000000000000044
3.50430266e-11,1.44632076,1.3756968,1.275,1.325,0.07062396000000004,-0.050000000000000044
3.60430266e-11,1.44630426,1.37567556,1.275,1.325,0.0706287000000001,-0.050000000000000044
3.70430266e-11,1.4462858,1.3756523,1.275,1.325,0.07063350000000002,-0.050000000000000044
3.80430266e-11,1.44626567,1.37562734,1.275,1.325,0.07063832999999997,-0.050000000000000044
3.90430266e-11,1.44624414,1.37560095,1.275,1.325,0.07064318999999997,-0.050000000000000044
4.00430266e-11,1.44622144,1.37557336,1.275,1.325,0.07064808,-0.050000000000000044
4.10430266e-11,1.44619777,1.37554481,1.275,1.325,0.07065295999999988,-0.050000000000000044
4.20430266e-11,1.44617331,1.37551547,1.275,1.325,0.07065783999999997,-0.050000000000000044
4.30430266e-11,1.44614821,1.3754855,1.275,1.325,0.07066271000000013,-0.050000000000000044
4.40430266e-11,1.44612262,1.37545506,1.275,1.325,0.07066755999999996,-0.050000000000000044
4.50430266e-11,1.44609665,1.37542427,1.275,1.325,0.0706723800000002,-0.050000000000000044
4.60430266e-11,1.44607041,1.37539324,1.275,1.325,0.07067716999999996,-0.050000000000000044
4.70430266e-11,1.44604399,1.37536207,1.275,1.325,0.07068191999999995,-0.050000000000000044
4.80430266e-11,1.44601747,1.37533084,1.275,1.325,0.07068662999999997,-0.050000000000000044
4.90430266e-11,1.44599092,1.37529963,1.275,1.325,0.07069129000000007,-0.050000000000000044
5.00430266e-11,1.44596441,1.3752685,1.275,1.325,0.07069590999999997,-0.050000000000000044
5.10430266e-11,1.44593798,1.37523751,1.275,1.325,0.07070047000000002,-0.050000000000000044
5.20430266e-11,1.44591167,1.37520671,1.275,1.325,0.07070496000000004,-0.050000000000000044
5.30430266e-11,1.44588554,1.37517614,1.275,1.325,0.07070939999999992,-0.050000000000000044
5.40430266e-11,1.44585961,1.37514583,1.275,1.325,0.07071378000000017,-0.050000000000000044
5.50430266e-11,1.44583392,1.37511582,1.275,1.325,0.07071810000000012,-0.050000000000000044
5.60430266e-11,1.44580848,1.37508613,1.275,1.325,0.07072235000000004,-0.050000000000000044
5.70430266e-11,1.44578332,1.37505678,1.275,1.325,0.07072654000000012,-0.050000000000000044
5.80430266e-11,1.44575845,1.37502779,1.275,1.325,0.07073065999999995,-0.050000000000000044
5.90430266e-11,1.4457339,1.37499918,1.275,1.325,0.07073471999999992,-0.050000000000000044
6.00430266e-11,1.44570967,1.37497096,1.275,1.325,0.0707387100000001,-0.050000000000000044
6.10430266e-11,1.44568577,1.37494313,1.275,1.325,0.07074264000000019,-0.050000000000000044
6.20430266e-11,1.44566221,1.37491571,1.275,1.325,0.07074650000000005,-0.050000000000000044
6.30430266e-11,1.445639,1.3748887,1.275,1.325,0.07075029999999982,-0.050000000000000044
