k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,0.14272727857151574,-0.001431109303536074,no
0,-99.7319200000002,1.0,yes
1,-0.8979262857143121,0.009003399169637065,yes
2,0.21989614285711526,-0.002204872250099214,no
3,0.06756657142843137,-0.0006774819077826962,no
4,0.021143857142751656,-0.00021200691957751956,no
5,0.005377714285716343,-5.392169614017591e-05,no
6,-0.000953857142845978,9.564211165752912e-06,no
7,-0.003954000000039317,3.964628375789124e-05,no
8,-0.005609000000131712,5.6240770258225255e-05,no
9,-0.006600714285750645,6.618457045397934e-05,no
10,-0.007248142857279356,7.267625908815694e-05,no
