k,h_mV,h_over_h0,kept
-3,3.5999998815317014e-07,-1.7911602992391482e-09,no
-2,3.5999998815317014e-07,-1.7911602992391482e-09,no
-1,-0.020126442142797477,0.00010013801477064044,no
0,-200.9870296400001,1.0,yes
1,-3.2953567828570005,0.01639586787644711,yes
2,-0.03769735428566149,0.00018756112945787336,no
3,-0.0203732114285026,0.0001013658018877849,no
4,-0.021943782857102224,0.00010918009433945588,no
5,-0.023758211428513896,0.00011820768470019509,no
6,-0.025307068571442392,0.00012591393890825392,no
7,-0.02653163999990216,0.0001320067272371982,no
8,-0.027481925714153976,0.00013673482196029514,no
9,-0.028222068571429854,0.00014041736236402962,no
10,-0.028797782857105977,0.00014328179738109178,no
