k,h_mV,h_over_h0,kept
-3,0.00047924000014279867,-3.7809694668746364e-06,no
-2,0.000469240000022797,-3.702074351460224e-06,no
-1,0.00045452430131875786,-3.5859746780875513e-06,no
0,-126.75056076000007,1.0,yes
1,3.1452160055713656,-0.02481421767850618,no
2,0.020808694000023026,-0.00016417042950542772,no
3,-0.022429339143017785,0.0001769565279122302,no
4,-0.023452189428510902,0.0001850263169479558,no
5,-0.02373933228565329,0.0001872917338062377,no
6,-0.023953617571365816,0.00018898234002074013,no
7,-0.024112189000020302,0.0001902333911222397,no
8,-0.024230760428537248,0.00019116886176478353,no
9,-0.024310759999923715,0.00019180001929897342,no
10,-0.0243607600000005,0.00019219449487191748,no
