k,h_mV,h_over_h0,kept
-3,0.0,-0.0,no
-2,0.0,-0.0,no
-1,0.2520065974997793,-0.0052659935739796946,yes
0,-47.85547000000023,1.0,yes
1,-0.14602457142877762,0.0030513663626911807,no
2,0.3322311428569487,-0.006942385956233365,yes
3,0.19092228571409015,-0.0039895603514935535,no
4,0.10923671428556068,-0.002282637999074299,no
5,0.06279828571427486,-0.0013122488550269082,no
6,0.03626599999983401,-0.0007578235048121736,no
7,0.02098499999978464,-0.0004385078654495409,no
8,0.012093857142603245,-0.0002527162964359808,no
9,0.0068588571425871265,-0.00014332441291637285,no
10,0.0037247142855451835,-7.783257139769321e-05,no
