k,h_mV,h_over_h0,kept
-3,-7.679999991516695e-05,6.538674000159094e-07,no
-2,-8.680000007643685e-05,7.390063858600608e-07,no
-1,0.08804559035725576,-0.0007496112150176622,no
0,-117.45500679999998,1.0,yes
1,-1.4231323714285642,0.012116404487139874,yes
2,0.14488677142851747,-0.0012335512582722654,no
3,0.06361877142863544,-0.0005416437592734058,no
4,0.029036342857180472,-0.00024721247436154827,no
5,0.013412057142952216,-0.00011418889248195265,no
6,0.0050013428571344205,-4.258092518482934e-05,no
7,-0.00024780000018598497,2.109744036777707e-06,no
8,-0.0038815142857735164,3.304681845008856e-05,no
9,-0.006530657142905002,5.5601351707597045e-05,no
10,-0.008503942857093376,7.240170588533292e-05,no
