$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/term_stage/term_dut.gds --netlist=/workspace/layout/blocks/out/term_stage/term_dut.cdl --run_dir=/workspace/layout/blocks/out/term_stage/lvs_bisect/baseline --run_mode=deep --topcell=term_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 06:42:37 +0000: Memory Usage (128580K) : Starting running SG13G2 Klayout LVS runset on /workspace/layout/blocks/out/term_stage/term_dut.gds
2026-08-20 06:42:37 +0000: Memory Usage (128768K) : Ruby Version for klayout: 3.2.3
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Loading database to memory is complete.
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : SG13G2 Klayout LVS runset output at: /workspace/layout/blocks/out/term_stage/lvs_bisect/baseline/term_dut.lvsdb
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Evaluate switches.
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Extracted netlist with net names: true
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Extracted netlist with comments in details: false
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected NET_ONLY option: false
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected LAYOUT_NETLIST option: (none)
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected IGNORE_TOP_PORTS_MISMATCH option: true
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected IMPLICIT_NETS option: sub,sub!
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected TOP_LVL_PINS option: false
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected COMBINE DEVICES option: false
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected PURGE option: false
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected PURGE_NETS option: false
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected SIMPLIFY option: true
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected SERIES_RES option: true
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected PARALLEL_RES option: true
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 06:42:37 +0000: Memory Usage (129852K) : deep  mode is enabled.
