$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/vga_stage/mos7_only/mos7.gds --netlist=/workspace/layout/blocks/out/vga_stage/mos7_only/mos7.cdl --run_dir=/workspace/layout/blocks/out/vga_stage/mos7_only/lvs --run_mode=deep --topcell=vga_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 08:47:38 +0000: Memory Usage (128172K) : Starting running SG13G2 Klayout LVS runset on /workspace/layout/blocks/out/vga_stage/mos7_only/mos7.gds
2026-08-20 08:47:38 +0000: Memory Usage (128172K) : Ruby Version for klayout: 3.2.3
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Loading database to memory is complete.
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : SG13G2 Klayout LVS runset output at: /workspace/layout/blocks/out/vga_stage/mos7_only/lvs/mos7.lvsdb
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Evaluate switches.
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Extracted netlist with net names: true
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Extracted netlist with comments in details: false
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected NET_ONLY option: false
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected LAYOUT_NETLIST option: (none)
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected IGNORE_TOP_PORTS_MISMATCH option: true
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected IMPLICIT_NETS option: sub,sub!
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected TOP_LVL_PINS option: false
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected COMBINE DEVICES option: false
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected PURGE option: false
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected PURGE_NETS option: false
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected SIMPLIFY option: true
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected SERIES_RES option: true
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected PARALLEL_RES option: true
2026-08-20 08:47:38 +0000: Memory Usage (129272K) : Selected DISABLE_TAP_EXTRACTION option: true
